asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance_meter,speed_filled,meter_filled,avrg_speed_5,avrg_speed_10,avrg_speed_30,avrg_speed_all,distance_speed,distance_cum,delay,fuel
487,2017-10-01 14:35:25,nan,35716.0,1578.0,nan,3181109.0,3227760.0,nan,0.0,68.0,nan,nan,nan,nan,nan,18.88888888888889,nan,1.0,3.0
487,2017-10-01 14:35:27,65.0,34123.0,nan,nan,3181113.0,nan,nan,nan,nan,3227760.0,nan,nan,nan,nan,36.111111111111114,nan,2.0,4.0
487,2017-10-01 14:35:29,63.0,33130.0,nan,nan,3181120.0,3227831.0,nan,0.0,nan,nan,nan,nan,nan,nan,35.0,nan,2.0,7.0
487,2017-10-01 14:35:31,62.0,32455.0,1456.0,23.0,3181126.0,nan,nan,nan,nan,3227831.0,63.9,nan,nan,nan,34.44444444444444,nan,2.0,6.0
487,2017-10-01 14:35:33,nan,31742.0,nan,nan,3181130.0,3227900.0,nan,0.0,62.0,nan,nan,nan,nan,nan,34.44444444444444,nan,2.0,4.0
487,2017-10-01 14:35:35,nan,32689.0,nan,nan,3181133.0,nan,nan,nan,62.0,3227900.0,62.1,nan,nan,nan,34.44444444444444,nan,2.0,3.0
487,2017-10-01 14:35:36,63.0,32381.0,1468.0,nan,3181135.0,nan,nan,nan,nan,3227900.0,49.68,56.0,nan,nan,17.5,nan,1.0,2.0
487,2017-10-01 14:35:38,nan,33300.0,nan,nan,3181138.0,3227967.0,nan,0.0,63.0,nan,nan,nan,nan,nan,35.0,nan,2.0,3.0
487,2017-10-01 14:35:39,nan,33172.0,nan,nan,3181140.0,nan,nan,nan,63.0,3227967.0,60.300000000000004,nan,nan,nan,17.5,nan,1.0,2.0
487,2017-10-01 14:35:41,nan,33206.0,1475.0,nan,3181144.0,nan,nan,nan,63.0,3227967.0,48.24,48.96,nan,nan,35.0,nan,2.0,4.0
487,2017-10-01 14:35:42,nan,33171.0,nan,nan,3181146.0,3228050.0,nan,0.0,63.0,nan,nan,nan,nan,nan,17.5,nan,1.0,2.0
487,2017-10-01 14:35:43,61.0,31640.0,nan,nan,3181150.0,nan,nan,nan,nan,3228050.0,nan,nan,nan,nan,16.944444444444443,nan,1.0,4.0
