asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance,delay,fuel,filled
487,2017-10-19 22:59:37,nan,0.0,949.0,9.0,3727273.0,nan,nan,nan,nan,nan,nan
487,2017-10-19 23:00:08,5.0,2220.0,1067.0,24.0,3727295.0,nan,nan,43.055555555555564,0 days 00:00:31,22.0,0.0
487,2017-10-19 23:00:11,9.0,4436.0,nan,nan,3727298.0,nan,nan,7.5,0 days 00:00:03,3.0,0.0
487,2017-10-19 23:00:42,0.0,0.0,950.0,8.0,3727316.0,151797.0,nan,0.0,0 days 00:00:31,18.0,0.0
487,2017-10-19 23:01:12,0.0,nan,951.0,22.0,3727339.0,nan,nan,0.0,0 days 00:00:30,23.0,1.0
487,2017-10-19 23:01:42,nan,nan,nan,23.0,3727360.0,nan,nan,0.0,0 days 00:00:30,21.0,0.0
487,2017-10-19 23:02:12,nan,151.0,nan,nan,3727383.0,nan,nan,0.0,0 days 00:00:30,23.0,0.0
487,2017-10-19 23:02:43,nan,0.0,651.0,22.0,3727400.0,nan,nan,0.0,0 days 00:00:31,17.0,0.0
487,2017-10-19 23:03:13,nan,nan,650.0,7.0,3727409.0,nan,nan,0.0,0 days 00:00:30,9.0,0.0
487,2017-10-19 23:03:43,19.0,11075.0,1332.0,nan,3727441.0,151825.0,nan,158.33333333333337,0 days 00:00:30,32.0,0.0
487,2017-10-19 23:04:13,10.0,4593.0,707.0,55.0,3727530.0,152110.0,nan,83.33333333333334,0 days 00:00:30,89.0,0.0
487,2017-10-19 23:04:44,31.0,16245.0,1513.0,59.0,3727599.0,152371.0,nan,266.9444444444445,0 days 00:00:31,69.0,0.0
487,2017-10-19 23:05:14,40.0,21116.0,1505.0,60.0,3727662.0,152613.0,nan,333.33333333333337,0 days 00:00:30,63.0,0.0
487,2017-10-19 23:05:45,36.0,19372.0,2104.0,0.0,3727727.0,152870.0,nan,310.00000000000006,0 days 00:00:31,65.0,0.0
487,2017-10-19 23:06:16,8.0,4893.0,1309.0,1.0,3727863.0,153133.0,nan,68.8888888888889,0 days 00:00:31,136.0,0.0
