asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance,delay,fuel,filled
487,2017-10-19 17:40:14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
487,2017-10-19 17:40:14,nan,nan,nan,nan,nan,nan,nan,nan,0 days 00:00:00,2.75476143e-316,1.0
487,2017-10-19 17:40:17,4.0,nan,864.0,nan,nan,nan,nan,3.3333333333333335,0 days 00:00:03,0.0,0.0
487,2017-10-19 17:40:18,5.0,nan,nan,nan,nan,nan,nan,1.3888888888888888,0 days 00:00:01,0.0,0.0
487,2017-10-19 17:40:19,5.0,nan,655.0,nan,nan,nan,nan,1.3888888888888888,0 days 00:00:01,6.92724647866476e-310,1.0
487,2017-10-19 17:40:19,6.0,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:00,6.92724648380423e-310,0.0
487,2017-10-19 17:40:19,6.0,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:00,4.664e-321,1.0
487,2017-10-19 17:40:21,4.0,nan,nan,nan,nan,nan,nan,2.2222222222222223,0 days 00:00:02,5.53e-322,0.0
487,2017-10-19 17:40:22,3.0,nan,nan,nan,nan,nan,nan,0.8333333333333334,0 days 00:00:01,2.9835399e-316,0.0
487,2017-10-19 17:40:23,0.0,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:01,6.9272464812161e-310,0.0
487,2017-10-19 17:40:26,0.0,nan,650.0,nan,3722896.0,nan,nan,0.0,0 days 00:00:03,6.9272464838161e-310,1.0
487,2017-10-19 17:40:26,0.0,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:00,6.92724648382004e-310,1.0
487,2017-10-19 17:40:57,0.0,nan,648.0,13.0,3722907.0,nan,nan,0.0,0 days 00:00:31,11.0,1.0
487,2017-10-19 17:41:28,nan,nan,nan,12.0,3722917.0,nan,nan,0.0,0 days 00:00:31,10.0,1.0
487,2017-10-19 17:41:58,nan,nan,651.0,11.0,3722926.0,nan,nan,0.0,0 days 00:00:30,9.0,1.0
487,2017-10-19 17:42:28,6.0,3876.0,748.0,29.0,3722939.0,135306.0,nan,50.000000000000014,0 days 00:00:30,13.0,0.0
487,2017-10-19 17:42:58,12.0,6098.0,624.0,0.0,3723032.0,135601.0,nan,100.00000000000003,0 days 00:00:30,93.0,0.0
487,2017-10-19 17:43:29,35.0,18572.0,1335.0,75.0,3723112.0,135801.0,nan,301.3888888888889,0 days 00:00:31,80.0,0.0
487,2017-10-19 17:43:59,23.0,12294.0,1727.0,0.0,3723141.0,135990.0,nan,191.66666666666669,0 days 00:00:30,29.0,0.0
487,2017-10-19 17:44:30,41.0,21223.0,1967.0,33.0,3723178.0,136247.0,nan,353.0555555555556,0 days 00:00:31,37.0,0.0
487,2017-10-19 17:45:01,4.0,1701.0,634.0,53.0,3723224.0,136422.0,nan,34.44444444444445,0 days 00:00:31,46.0,0.0
487,2017-10-19 17:45:32,23.0,11192.0,1100.0,48.0,3723268.0,136571.0,nan,198.05555555555557,0 days 00:00:31,44.0,0.0
487,2017-10-19 17:46:02,47.0,23677.0,1960.0,9.0,3723308.0,136750.0,nan,391.66666666666674,0 days 00:00:30,40.0,0.0
487,2017-10-19 17:46:20,65.0,34270.0,1856.0,45.0,3723370.0,137009.0,nan,325.0,0 days 00:00:18,62.0,0.0
487,2017-10-19 17:46:21,66.0,34618.0,nan,nan,3723374.0,nan,nan,18.333333333333332,0 days 00:00:01,4.0,0.0
487,2017-10-19 17:46:22,67.0,35071.0,nan,nan,3723378.0,nan,nan,18.61111111111111,0 days 00:00:01,4.0,0.0
487,2017-10-19 17:46:23,67.0,35471.0,nan,nan,3723382.0,137078.0,nan,18.61111111111111,0 days 00:00:01,4.0,1.0
487,2017-10-19 17:46:25,68.0,36029.0,1600.0,nan,3723389.0,nan,nan,37.77777777777778,0 days 00:00:02,7.0,0.0
487,2017-10-19 17:46:26,68.0,36333.0,nan,nan,3723393.0,nan,nan,18.88888888888889,0 days 00:00:01,4.0,1.0
487,2017-10-19 17:46:28,69.0,36476.0,nan,nan,3723400.0,137150.0,nan,38.333333333333336,0 days 00:00:02,7.0,0.0
487,2017-10-19 17:46:29,69.0,36788.0,nan,nan,3723403.0,nan,nan,19.166666666666668,0 days 00:00:01,3.0,1.0
487,2017-10-19 17:46:30,70.0,37031.0,1633.0,nan,3723406.0,nan,nan,19.444444444444443,0 days 00:00:01,3.0,0.0
487,2017-10-19 17:46:31,69.0,36782.0,nan,nan,3723410.0,nan,nan,19.166666666666668,0 days 00:00:01,4.0,0.0
487,2017-10-19 17:46:33,67.0,35260.0,nan,nan,3723416.0,137241.0,nan,37.22222222222222,0 days 00:00:02,6.0,0.0
487,2017-10-19 17:46:35,64.0,33958.0,1497.0,nan,3723423.0,137296.0,nan,35.55555555555556,0 days 00:00:02,7.0,0.0
487,2017-10-19 17:46:37,64.0,33744.0,nan,nan,3723429.0,nan,nan,35.55555555555556,0 days 00:00:02,6.0,1.0
487,2017-10-19 17:46:38,65.0,34028.0,nan,nan,3723431.0,nan,nan,18.055555555555557,0 days 00:00:01,2.0,0.0
487,2017-10-19 17:46:40,65.0,34294.0,1525.0,nan,3723437.0,137364.0,nan,36.111111111111114,0 days 00:00:02,6.0,1.0
487,2017-10-19 17:46:42,65.0,34333.0,nan,nan,3723440.0,nan,nan,36.111111111111114,0 days 00:00:02,3.0,1.0
487,2017-10-19 17:46:43,64.0,34007.0,nan,nan,3723445.0,137432.0,nan,17.77777777777778,0 days 00:00:01,5.0,0.0
487,2017-10-19 17:46:44,64.0,33744.0,nan,nan,3723448.0,nan,nan,17.77777777777778,0 days 00:00:01,3.0,1.0
487,2017-10-19 17:46:46,59.0,31948.0,1427.0,0.0,3723452.0,nan,nan,32.77777777777778,0 days 00:00:02,4.0,0.0
487,2017-10-19 17:47:17,37.0,19818.0,1416.0,15.0,3723479.0,137790.0,nan,318.61111111111114,0 days 00:00:31,27.0,0.0
487,2017-10-19 17:47:47,32.0,17000.0,1486.0,nan,3723521.0,138015.0,nan,266.66666666666674,0 days 00:00:30,42.0,0.0
487,2017-10-19 17:48:18,30.0,15356.0,1573.0,0.0,3723561.0,138239.0,nan,258.33333333333337,0 days 00:00:31,40.0,0.0
487,2017-10-19 17:48:48,29.0,15842.0,1522.0,5.0,3723597.0,138434.0,nan,241.6666666666667,0 days 00:00:30,36.0,0.0
487,2017-10-19 17:49:19,0.0,0.0,639.0,16.0,3723640.0,138584.0,nan,0.0,0 days 00:00:31,43.0,0.0
487,2017-10-19 17:49:49,4.0,2148.0,650.0,28.0,3723657.0,nan,nan,33.33333333333334,0 days 00:00:30,17.0,0.0
487,2017-10-19 17:50:19,42.0,22156.0,1552.0,36.0,3723703.0,138775.0,nan,350.00000000000006,0 days 00:00:30,46.0,0.0
487,2017-10-19 17:50:49,35.0,18391.0,1183.0,0.0,3723736.0,139093.0,nan,291.66666666666674,0 days 00:00:30,33.0,0.0
487,2017-10-19 17:51:20,10.0,6266.0,640.0,8.0,3723765.0,139383.0,nan,86.11111111111113,0 days 00:00:31,29.0,0.0
487,2017-10-19 17:51:50,3.0,1221.0,631.0,2.0,3723824.0,139634.0,nan,25.000000000000007,0 days 00:00:30,59.0,0.0
487,2017-10-19 17:52:21,0.0,0.0,650.0,29.0,3723840.0,nan,nan,0.0,0 days 00:00:31,16.0,0.0
487,2017-10-19 17:52:51,12.0,6417.0,643.0,2.0,3723865.0,139762.0,nan,100.00000000000003,0 days 00:00:30,25.0,0.0
487,2017-10-19 17:53:22,0.0,0.0,646.0,24.0,3723878.0,139788.0,nan,0.0,0 days 00:00:31,13.0,0.0
487,2017-10-19 17:53:52,21.0,11027.0,1328.0,20.0,3723899.0,139854.0,nan,175.00000000000003,0 days 00:00:30,21.0,0.0
487,2017-10-19 17:54:23,30.0,17186.0,1688.0,18.0,3723936.0,140042.0,nan,258.33333333333337,0 days 00:00:31,37.0,0.0
487,2017-10-19 17:54:54,0.0,0.0,651.0,28.0,3723956.0,140094.0,nan,0.0,0 days 00:00:31,20.0,0.0
487,2017-10-19 17:55:24,55.0,28972.0,1543.0,0.0,3724075.0,140402.0,nan,458.3333333333334,0 days 00:00:30,119.0,0.0
487,2017-10-19 17:55:55,0.0,0.0,651.0,24.0,3724084.0,140577.0,nan,0.0,0 days 00:00:31,9.0,0.0
487,2017-10-19 17:56:25,47.0,24952.0,1359.0,58.0,3724175.0,140817.0,nan,391.66666666666674,0 days 00:00:30,91.0,0.0
487,2017-10-19 17:56:56,0.0,0.0,649.0,24.0,3724199.0,140973.0,nan,0.0,0 days 00:00:31,24.0,0.0
487,2017-10-19 17:57:26,46.0,24214.0,2169.0,64.0,3724232.0,141023.0,nan,383.33333333333337,0 days 00:00:30,33.0,0.0
487,2017-10-19 17:57:57,58.0,31002.0,1645.0,31.0,3724338.0,141460.0,nan,499.44444444444457,0 days 00:00:31,106.0,0.0
487,2017-10-19 17:58:28,16.0,8558.0,659.0,0.0,3724389.0,141884.0,nan,137.7777777777778,0 days 00:00:31,51.0,0.0
487,2017-10-19 17:58:59,53.0,28597.0,1480.0,44.0,3724420.0,142107.0,nan,456.38888888888897,0 days 00:00:31,31.0,0.0
487,2017-10-19 17:59:29,30.0,14857.0,1634.0,8.0,3724430.0,142323.0,nan,250.00000000000006,0 days 00:00:30,10.0,0.0
487,2017-10-19 18:00:00,0.0,301.0,645.0,5.0,3724485.0,142476.0,nan,0.0,0 days 00:00:31,55.0,0.0
487,2017-10-19 18:00:30,42.0,22651.0,1673.0,61.0,3724517.0,142587.0,nan,350.00000000000006,0 days 00:00:30,32.0,0.0
487,2017-10-19 18:01:01,0.0,0.0,651.0,1.0,3724530.0,142798.0,nan,0.0,0 days 00:00:31,13.0,0.0
487,2017-10-19 18:01:31,33.0,17251.0,1207.0,28.0,3724591.0,142942.0,nan,275.00000000000006,0 days 00:00:30,61.0,0.0
487,2017-10-19 18:02:02,0.0,0.0,651.0,22.0,3724612.0,143064.0,nan,0.0,0 days 00:00:31,21.0,0.0
487,2017-10-19 18:02:32,9.0,3115.0,650.0,24.0,3724629.0,nan,nan,75.00000000000001,0 days 00:00:30,17.0,0.0
487,2017-10-19 18:03:03,33.0,17801.0,1296.0,0.0,3724664.0,143241.0,nan,284.16666666666674,0 days 00:00:31,35.0,0.0
487,2017-10-19 18:03:34,13.0,6777.0,1681.0,37.0,3724699.0,143487.0,nan,111.94444444444447,0 days 00:00:31,35.0,0.0
487,2017-10-19 18:04:05,21.0,10013.0,1204.0,27.0,3724753.0,143741.0,nan,180.83333333333337,0 days 00:00:31,54.0,0.0
487,2017-10-19 18:04:36,38.0,19770.0,1731.0,2.0,3724896.0,143937.0,nan,327.2222222222223,0 days 00:00:31,143.0,0.0
487,2017-10-19 18:05:07,50.0,27516.0,1541.0,0.0,3725034.0,144214.0,nan,430.55555555555566,0 days 00:00:31,138.0,0.0
487,2017-10-19 18:05:38,5.0,3576.0,645.0,nan,3725075.0,144521.0,nan,43.055555555555564,0 days 00:00:31,41.0,0.0
487,2017-10-19 18:06:09,25.0,13219.0,2013.0,23.0,3725108.0,144566.0,nan,215.27777777777783,0 days 00:00:31,33.0,0.0
487,2017-10-19 18:06:39,24.0,12692.0,1251.0,7.0,3725169.0,144712.0,nan,200.00000000000006,0 days 00:00:30,61.0,0.0
487,2017-10-19 18:07:10,0.0,0.0,648.0,14.0,3725179.0,144805.0,nan,0.0,0 days 00:00:31,10.0,0.0
487,2017-10-19 18:07:41,0.0,nan,650.0,9.0,3725188.0,nan,nan,0.0,0 days 00:00:31,9.0,1.0
487,2017-10-19 18:08:12,nan,nan,651.0,5.0,3725197.0,nan,nan,0.0,0 days 00:00:31,9.0,1.0
487,2017-10-19 18:08:42,nan,nan,nan,nan,3725206.0,nan,nan,0.0,0 days 00:00:30,9.0,1.0
487,2017-10-19 18:09:13,nan,nan,649.0,nan,3725216.0,nan,nan,0.0,0 days 00:00:31,10.0,1.0
487,2017-10-19 18:09:44,nan,nan,651.0,10.0,3725225.0,nan,nan,0.0,0 days 00:00:31,9.0,1.0
487,2017-10-19 18:10:14,nan,162.0,nan,nan,3725234.0,nan,nan,0.0,0 days 00:00:30,9.0,1.0
487,2017-10-19 18:10:45,nan,0.0,650.0,9.0,3725244.0,nan,nan,0.0,0 days 00:00:31,10.0,1.0
487,2017-10-19 18:11:16,nan,nan,nan,5.0,3725253.0,nan,nan,0.0,0 days 00:00:31,9.0,1.0
487,2017-10-19 18:11:46,nan,nan,651.0,nan,3725262.0,nan,nan,0.0,0 days 00:00:30,9.0,1.0
487,2017-10-19 18:12:00,nan,nan,652.0,nan,3725267.0,nan,nan,0.0,0 days 00:00:14,5.0,1.0
487,2017-10-19 18:12:29,nan,nan,649.0,10.0,3725275.0,nan,nan,0.0,0 days 00:00:29,8.0,1.0
487,2017-10-19 18:12:59,nan,nan,651.0,nan,3725285.0,nan,nan,0.0,0 days 00:00:30,10.0,1.0
487,2017-10-19 18:13:30,nan,nan,nan,nan,3725294.0,nan,nan,0.0,0 days 00:00:31,9.0,1.0
487,2017-10-19 18:13:54,nan,1401.0,642.0,6.0,3725301.0,144808.0,nan,0.0,0 days 00:00:24,7.0,1.0
487,2017-10-19 18:14:25,2.0,0.0,653.0,24.0,3725317.0,144829.0,nan,17.222222222222225,0 days 00:00:31,16.0,0.0
487,2017-10-19 18:14:55,0.0,nan,650.0,8.0,3725329.0,nan,nan,0.0,0 days 00:00:30,12.0,0.0
487,2017-10-19 18:15:26,0.0,nan,653.0,7.0,3725338.0,nan,nan,0.0,0 days 00:00:31,9.0,1.0
487,2017-10-19 18:15:57,nan,nan,0.0,0.0,3725340.0,nan,nan,0.0,0 days 00:00:31,2.0,1.0
487,2017-10-19 18:16:27,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:30,6.9272464840461e-310,1.0
487,2017-10-19 18:16:58,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:31,6.92724648405007e-310,1.0
487,2017-10-19 18:17:19,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:21,6.92724648405403e-310,1.0
487,2017-10-19 18:17:20,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:01,6.927246484058e-310,1.0
487,2017-10-19 18:17:20,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:00,6.92724648406667e-310,1.0
487,2017-10-19 18:17:20,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:00,6.92724648407063e-310,1.0
487,2017-10-19 18:17:20,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:00,6.92724647872563e-310,1.0
487,2017-10-19 18:17:20,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:00,6.9272464840746e-310,1.0
487,2017-10-19 18:17:20,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:00,1.265e-321,1.0
487,2017-10-19 18:17:51,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:31,5.53e-322,1.0
487,2017-10-19 18:18:04,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:13,2.983649e-316,1.0
487,2017-10-19 18:18:34,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:30,6.9272464812406e-310,1.0
487,2017-10-19 18:19:05,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:31,6.92724648408644e-310,1.0
487,2017-10-19 18:19:36,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:31,6.9272464840904e-310,1.0
487,2017-10-19 18:20:06,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:30,6.92724648409434e-310,1.0
487,2017-10-19 18:20:37,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:31,6.9272464840983e-310,1.0
487,2017-10-19 18:21:07,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:30,6.92724648410225e-310,1.0
487,2017-10-19 18:21:38,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:31,6.9272464841062e-310,1.0
487,2017-10-19 18:22:09,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:31,6.92724648411015e-310,1.0
487,2017-10-19 18:22:39,nan,105.0,nan,nan,nan,nan,nan,0.0,0 days 00:00:30,6.9272464841141e-310,1.0
487,2017-10-19 18:23:10,nan,0.0,nan,nan,nan,nan,nan,0.0,0 days 00:00:31,6.9272464787343e-310,1.0
487,2017-10-19 18:23:41,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:31,6.92724648411806e-310,1.0
487,2017-10-19 18:24:11,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:30,1.82e-321,1.0
487,2017-10-19 18:24:41,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:30,5.53e-322,1.0
487,2017-10-19 18:25:11,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:30,2.98365453e-316,1.0
487,2017-10-19 18:25:42,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:31,6.9272464812442e-310,1.0
487,2017-10-19 18:26:12,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:30,6.9272464841299e-310,1.0
487,2017-10-19 18:26:43,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:31,6.92724648413387e-310,1.0
487,2017-10-19 18:27:14,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:31,6.9272464841378e-310,1.0
487,2017-10-19 18:27:21,nan,nan,nan,nan,nan,nan,nan,0.0,0 days 00:00:07,6.92724648414177e-310,1.0
