asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance,delay,fuel,filled
487,2017-10-21 11:00:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
487,2017-10-21 11:00:00,nan,nan,nan,nan,nan,nan,nan,nan,0 days 00:00:00,2.76484195e-316,1.0
487,2017-10-21 11:00:02,nan,nan,950.0,nan,nan,nan,nan,nan,0 days 00:00:02,0.0,0.0
487,2017-10-21 11:00:06,nan,nan,nan,nan,nan,nan,nan,nan,0 days 00:00:04,0.0,0.0
487,2017-10-21 11:00:06,nan,nan,nan,nan,nan,nan,nan,nan,0 days 00:00:00,0.0,0.0
487,2017-10-21 11:00:06,nan,nan,nan,nan,nan,nan,nan,nan,0 days 00:00:00,0.0,0.0
487,2017-10-21 11:00:06,nan,nan,nan,nan,nan,nan,nan,nan,0 days 00:00:00,0.0,0.0
487,2017-10-21 11:00:08,nan,nan,nan,nan,nan,nan,nan,nan,0 days 00:00:02,0.0,0.0
487,2017-10-21 11:00:08,nan,nan,nan,nan,nan,nan,nan,nan,0 days 00:00:00,6.9272464816011e-310,1.0
487,2017-10-21 11:00:14,nan,nan,931.0,nan,3741407.0,nan,nan,nan,0 days 00:00:06,0.0,0.0
487,2017-10-21 11:00:15,nan,nan,953.0,nan,3741412.0,nan,nan,nan,0 days 00:00:01,5.0,1.0
487,2017-10-21 11:00:15,nan,nan,nan,nan,nan,nan,nan,nan,0 days 00:00:00,0.0,0.0
487,2017-10-21 11:00:46,nan,3631.0,951.0,34.0,3741443.0,197358.0,nan,nan,0 days 00:00:31,31.0,0.0
487,2017-10-21 11:01:16,nan,287.0,nan,33.0,3741472.0,197385.0,nan,nan,0 days 00:00:30,29.0,0.0
487,2017-10-21 11:01:47,nan,440.0,949.0,32.0,3741503.0,nan,nan,nan,0 days 00:00:31,31.0,0.0
487,2017-10-21 11:02:18,nan,0.0,950.0,30.0,3741532.0,nan,nan,nan,0 days 00:00:31,29.0,0.0
487,2017-10-21 11:02:49,nan,nan,952.0,nan,3741560.0,nan,nan,nan,0 days 00:00:31,28.0,0.0
487,2017-10-21 11:03:19,nan,nan,nan,29.0,3741587.0,nan,nan,nan,0 days 00:00:30,27.0,0.0
487,2017-10-21 11:03:50,nan,nan,950.0,nan,3741614.0,nan,nan,nan,0 days 00:00:31,27.0,1.0
487,2017-10-21 11:04:21,nan,nan,949.0,28.0,3741641.0,nan,nan,nan,0 days 00:00:31,27.0,0.0
487,2017-10-21 11:04:51,nan,189.0,nan,nan,3741667.0,nan,nan,nan,0 days 00:00:30,26.0,1.0
487,2017-10-21 11:05:22,nan,0.0,951.0,27.0,3741693.0,nan,nan,nan,0 days 00:00:31,26.0,0.0
487,2017-10-21 11:05:49,nan,60.0,952.0,nan,3741716.0,nan,nan,nan,0 days 00:00:27,23.0,0.0
487,2017-10-21 11:05:57,6.0,4015.0,958.0,nan,3741721.0,197396.0,nan,13.333333333333334,0 days 00:00:08,5.0,0.0
487,2017-10-21 11:06:27,0.0,0.0,649.0,15.0,3741737.0,197441.0,nan,0.0,0 days 00:00:30,16.0,0.0
487,2017-10-21 11:06:58,0.0,nan,950.0,24.0,3741751.0,nan,nan,0.0,0 days 00:00:31,14.0,1.0
487,2017-10-21 11:07:29,nan,212.0,953.0,25.0,3741774.0,nan,nan,0.0,0 days 00:00:31,23.0,0.0
487,2017-10-21 11:08:00,nan,0.0,nan,24.0,3741797.0,nan,nan,0.0,0 days 00:00:31,23.0,0.0
487,2017-10-21 11:08:30,nan,nan,952.0,nan,3741820.0,nan,nan,0.0,0 days 00:00:30,23.0,1.0
487,2017-10-21 11:09:00,12.0,5994.0,644.0,nan,3741843.0,197445.0,nan,100.00000000000003,0 days 00:00:30,23.0,0.0
487,2017-10-21 11:09:31,45.0,24161.0,1662.0,30.0,3741919.0,197701.0,nan,387.50000000000006,0 days 00:00:31,76.0,0.0
487,2017-10-21 11:10:02,52.0,28879.0,2039.0,69.0,3741964.0,198044.0,nan,447.7777777777779,0 days 00:00:31,45.0,0.0
487,2017-10-21 11:10:13,64.0,34091.0,1505.0,nan,3742003.0,198218.0,nan,195.55555555555554,0 days 00:00:11,39.0,0.0
487,2017-10-21 11:10:15,65.0,34279.0,nan,nan,3742008.0,nan,nan,36.111111111111114,0 days 00:00:02,5.0,0.0
487,2017-10-21 11:10:16,65.0,34484.0,nan,nan,3742010.0,198269.0,nan,18.055555555555557,0 days 00:00:01,2.0,1.0
487,2017-10-21 11:10:18,65.0,34568.0,1527.0,nan,3742015.0,nan,nan,36.111111111111114,0 days 00:00:02,5.0,1.0
487,2017-10-21 11:10:20,65.0,34604.0,nan,nan,3742020.0,nan,nan,36.111111111111114,0 days 00:00:02,5.0,1.0
487,2017-10-21 11:10:21,65.0,34719.0,nan,nan,3742022.0,198354.0,nan,18.055555555555557,0 days 00:00:01,2.0,1.0
487,2017-10-21 11:10:22,65.0,34600.0,1516.0,nan,3742025.0,nan,nan,18.055555555555557,0 days 00:00:01,3.0,1.0
