asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance,delay,fuel,filled
487,2017-10-06 19:52:30,60.0,31502.0,1721.0,39.0,3273572.0,3640607.0,nan,nan,nan,nan,nan
487,2017-10-06 19:52:38,69.0,36830.0,1893.0,nan,3273616.0,3640735.0,nan,153.33333333333334,0 days 00:00:08,44.0,0.0
487,2017-10-06 19:52:39,71.0,37102.0,nan,nan,nan,nan,nan,19.72222222222222,0 days 00:00:01,0.0,0.0
487,2017-10-06 19:52:41,74.0,39011.0,2088.0,nan,3273625.0,3640808.0,nan,41.111111111111114,0 days 00:00:02,9.0,0.0
487,2017-10-06 19:52:43,77.0,40957.0,nan,nan,3273643.0,nan,nan,42.77777777777778,0 days 00:00:02,18.0,0.0
487,2017-10-06 19:52:44,79.0,41349.0,nan,nan,3273653.0,3640886.0,nan,21.944444444444443,0 days 00:00:01,10.0,0.0
487,2017-10-06 19:52:45,81.0,42545.0,2333.0,nan,3273663.0,nan,nan,22.5,0 days 00:00:01,10.0,0.0
487,2017-10-06 19:52:47,85.0,44234.0,nan,nan,3273682.0,nan,nan,47.22222222222222,0 days 00:00:02,19.0,0.0
487,2017-10-06 19:52:49,87.0,46005.0,nan,nan,3273702.0,3640996.0,nan,48.333333333333336,0 days 00:00:02,20.0,0.0
487,2017-10-06 19:52:50,89.0,46731.0,nan,91.0,3273712.0,nan,nan,24.72222222222222,0 days 00:00:01,10.0,0.0
487,2017-10-06 19:52:52,92.0,47944.0,2552.0,nan,3273731.0,nan,nan,51.111111111111114,0 days 00:00:02,19.0,0.0
487,2017-10-06 19:52:53,93.0,48424.0,nan,nan,3273742.0,3641093.0,nan,25.833333333333332,0 days 00:00:01,11.0,0.0
487,2017-10-06 19:52:54,93.0,49327.0,nan,nan,3273752.0,nan,nan,25.833333333333332,0 days 00:00:01,10.0,1.0
487,2017-10-06 19:52:55,95.0,49731.0,nan,nan,3273763.0,nan,nan,26.38888888888889,0 days 00:00:01,11.0,0.0
487,2017-10-06 19:52:57,97.0,50651.0,2230.0,nan,3273784.0,3641195.0,nan,53.888888888888886,0 days 00:00:02,21.0,0.0
487,2017-10-06 19:52:59,97.0,50879.0,nan,nan,3273805.0,nan,nan,53.888888888888886,0 days 00:00:02,21.0,1.0
487,2017-10-06 19:53:00,97.0,51104.0,nan,nan,3273816.0,nan,nan,26.944444444444443,0 days 00:00:01,11.0,1.0
487,2017-10-06 19:53:01,97.0,51426.0,2288.0,nan,3273826.0,3641299.0,nan,26.944444444444443,0 days 00:00:01,10.0,1.0
487,2017-10-06 19:53:03,98.0,51530.0,nan,nan,3273841.0,nan,nan,54.44444444444444,0 days 00:00:02,15.0,0.0
487,2017-10-06 19:53:05,98.0,50898.0,nan,nan,3273850.0,nan,nan,54.44444444444444,0 days 00:00:02,9.0,1.0
487,2017-10-06 19:53:06,98.0,51556.0,2307.0,nan,3273854.0,3641433.0,nan,27.22222222222222,0 days 00:00:01,4.0,1.0
487,2017-10-06 19:53:08,100.0,52128.0,nan,nan,3273863.0,nan,nan,55.55555555555556,0 days 00:00:02,9.0,0.0
487,2017-10-06 19:53:09,99.0,52597.0,nan,nan,3273869.0,nan,nan,27.5,0 days 00:00:01,6.0,0.0
487,2017-10-06 19:53:10,101.0,52946.0,nan,nan,3273873.0,3641539.0,nan,28.055555555555557,0 days 00:00:01,4.0,0.0
487,2017-10-06 19:53:12,101.0,53256.0,2354.0,nan,3273882.0,nan,nan,56.111111111111114,0 days 00:00:02,9.0,1.0
487,2017-10-06 19:53:13,101.0,53709.0,nan,nan,3273891.0,nan,nan,28.055555555555557,0 days 00:00:01,9.0,1.0
487,2017-10-06 19:53:15,103.0,54314.0,nan,nan,3273908.0,3641675.0,nan,57.22222222222222,0 days 00:00:02,17.0,0.0
487,2017-10-06 19:53:17,103.0,54744.0,2428.0,nan,3273927.0,nan,nan,57.22222222222222,0 days 00:00:02,19.0,1.0
487,2017-10-06 19:53:18,103.0,54704.0,nan,nan,3273936.0,nan,nan,28.61111111111111,0 days 00:00:01,9.0,1.0
487,2017-10-06 19:53:20,104.0,54660.0,nan,55.0,3273953.0,3641787.0,nan,57.77777777777778,0 days 00:00:02,17.0,0.0
487,2017-10-06 19:53:21,103.0,54489.0,2416.0,nan,nan,nan,nan,28.61111111111111,0 days 00:00:01,0.0,0.0
487,2017-10-06 19:53:23,103.0,54382.0,nan,nan,3273972.0,3641871.0,nan,57.22222222222222,0 days 00:00:02,19.0,1.0
487,2017-10-06 19:53:24,102.0,54256.0,nan,nan,nan,nan,nan,28.333333333333332,0 days 00:00:01,0.0,0.0
487,2017-10-06 19:53:25,102.0,53968.0,nan,nan,3273977.0,nan,nan,28.333333333333332,0 days 00:00:01,5.0,1.0
487,2017-10-06 19:53:27,102.0,53786.0,2379.0,nan,3273986.0,3641981.0,nan,56.666666666666664,0 days 00:00:02,9.0,1.0
487,2017-10-06 19:53:28,102.0,53764.0,nan,nan,3273991.0,nan,nan,28.333333333333332,0 days 00:00:01,5.0,1.0
487,2017-10-06 19:53:29,103.0,53984.0,nan,nan,3273996.0,3642062.0,nan,28.61111111111111,0 days 00:00:01,5.0,0.0
487,2017-10-06 19:53:31,103.0,54414.0,2408.0,nan,3274006.0,nan,nan,57.22222222222222,0 days 00:00:02,10.0,1.0
487,2017-10-06 19:53:33,104.0,54835.0,nan,nan,3274020.0,nan,nan,57.77777777777778,0 days 00:00:02,14.0,0.0
487,2017-10-06 19:53:35,105.0,55126.0,nan,nan,3274040.0,3642201.0,nan,58.333333333333336,0 days 00:00:02,20.0,0.0
487,2017-10-06 19:53:36,104.0,55141.0,2445.0,nan,nan,nan,nan,28.88888888888889,0 days 00:00:01,0.0,0.0
487,2017-10-06 19:53:38,104.0,54696.0,nan,nan,3274069.0,3642313.0,nan,57.77777777777778,0 days 00:00:02,29.0,1.0
487,2017-10-06 19:53:40,102.0,53850.0,nan,nan,3274091.0,nan,nan,56.666666666666664,0 days 00:00:02,22.0,0.0
487,2017-10-06 19:53:41,100.0,53410.0,2344.0,nan,3274100.0,nan,nan,27.77777777777778,0 days 00:00:01,9.0,0.0
487,2017-10-06 19:53:43,98.0,52283.0,nan,nan,3274117.0,3642424.0,nan,54.44444444444444,0 days 00:00:02,17.0,0.0
487,2017-10-06 19:53:45,99.0,51709.0,nan,nan,3274131.0,nan,nan,55.0,0 days 00:00:02,14.0,0.0
487,2017-10-06 19:53:46,98.0,51816.0,2299.0,nan,3274138.0,3642529.0,nan,27.22222222222222,0 days 00:00:01,7.0,0.0
487,2017-10-06 19:53:48,97.0,51572.0,nan,nan,3274153.0,nan,nan,53.888888888888886,0 days 00:00:02,15.0,0.0
487,2017-10-06 19:53:49,97.0,50599.0,nan,nan,3274160.0,nan,nan,26.944444444444443,0 days 00:00:01,7.0,1.0
487,2017-10-06 19:53:50,96.0,50864.0,nan,45.0,3274167.0,3642633.0,nan,26.666666666666668,0 days 00:00:01,7.0,0.0
487,2017-10-06 19:53:52,96.0,51009.0,2239.0,nan,3274179.0,nan,nan,53.333333333333336,0 days 00:00:02,12.0,1.0
487,2017-10-06 19:53:54,96.0,51227.0,nan,nan,3274188.0,3642737.0,nan,53.333333333333336,0 days 00:00:02,9.0,1.0
487,2017-10-06 19:53:55,96.0,51079.0,nan,nan,3274193.0,nan,nan,26.666666666666668,0 days 00:00:01,5.0,1.0
487,2017-10-06 19:53:57,98.0,51732.0,2270.0,nan,3274198.0,nan,nan,54.44444444444444,0 days 00:00:02,5.0,0.0
487,2017-10-06 19:53:59,97.0,52207.0,nan,nan,3274208.0,3642867.0,nan,53.888888888888886,0 days 00:00:02,10.0,0.0
487,2017-10-06 19:54:00,99.0,52511.0,nan,nan,3274213.0,nan,nan,27.5,0 days 00:00:01,5.0,0.0
487,2017-10-06 19:54:02,100.0,53091.0,2332.0,nan,3274223.0,nan,nan,55.55555555555556,0 days 00:00:02,10.0,0.0
487,2017-10-06 19:54:04,99.0,52125.0,nan,nan,3274234.0,3642973.0,nan,55.0,0 days 00:00:02,11.0,0.0
487,2017-10-06 19:54:06,96.0,51097.0,2265.0,nan,3274245.0,nan,nan,53.333333333333336,0 days 00:00:02,11.0,0.0
487,2017-10-06 19:54:08,96.0,50491.0,nan,nan,3274256.0,3643078.0,nan,53.333333333333336,0 days 00:00:02,11.0,1.0
487,2017-10-06 19:54:10,96.0,50686.0,nan,nan,3274267.0,nan,nan,53.333333333333336,0 days 00:00:02,11.0,1.0
487,2017-10-06 19:54:11,96.0,50793.0,2248.0,nan,3274273.0,3643182.0,nan,26.666666666666668,0 days 00:00:01,6.0,1.0
487,2017-10-06 19:54:13,97.0,50996.0,nan,nan,3274284.0,nan,nan,53.888888888888886,0 days 00:00:02,11.0,0.0
487,2017-10-06 19:54:14,99.0,51612.0,nan,nan,3274294.0,nan,nan,27.5,0 days 00:00:01,10.0,0.0
487,2017-10-06 19:54:16,100.0,51764.0,2340.0,nan,3274316.0,3643285.0,nan,55.55555555555556,0 days 00:00:02,22.0,0.0
487,2017-10-06 19:54:17,100.0,52684.0,nan,nan,3274326.0,nan,nan,27.77777777777778,0 days 00:00:01,10.0,1.0
487,2017-10-06 19:54:18,101.0,52473.0,nan,nan,3274337.0,3643363.0,nan,28.055555555555557,0 days 00:00:01,11.0,0.0
487,2017-10-06 19:54:20,102.0,53054.0,nan,nan,3274359.0,nan,nan,56.666666666666664,0 days 00:00:02,22.0,0.0
487,2017-10-06 19:54:21,101.0,53046.0,2378.0,100.0,nan,3643444.0,nan,28.055555555555557,0 days 00:00:01,0.0,0.0
487,2017-10-06 19:54:23,103.0,53844.0,nan,nan,3274395.0,nan,nan,57.22222222222222,0 days 00:00:02,36.0,0.0
487,2017-10-06 19:54:24,102.0,53758.0,nan,nan,3274406.0,nan,nan,28.333333333333332,0 days 00:00:01,11.0,0.0
487,2017-10-06 19:54:26,103.0,53943.0,2417.0,nan,3274429.0,3643579.0,nan,57.22222222222222,0 days 00:00:02,23.0,0.0
487,2017-10-06 19:54:27,103.0,55331.0,nan,nan,3274440.0,nan,nan,28.61111111111111,0 days 00:00:01,11.0,1.0
487,2017-10-06 19:54:28,105.0,54796.0,nan,nan,3274451.0,nan,nan,29.166666666666668,0 days 00:00:01,11.0,0.0
487,2017-10-06 19:54:30,104.0,55537.0,nan,nan,3274474.0,3643686.0,nan,57.77777777777778,0 days 00:00:02,23.0,0.0
487,2017-10-06 19:54:31,106.0,55793.0,nan,nan,3274485.0,nan,nan,29.444444444444443,0 days 00:00:01,11.0,0.0
487,2017-10-06 19:54:32,106.0,56151.0,2476.0,nan,3274496.0,nan,nan,29.444444444444443,0 days 00:00:01,11.0,1.0
487,2017-10-06 19:54:34,108.0,56672.0,nan,nan,3274510.0,3643771.0,nan,60.0,0 days 00:00:02,14.0,0.0
487,2017-10-06 19:54:35,108.0,56769.0,nan,nan,3274517.0,nan,nan,30.0,0 days 00:00:01,7.0,1.0
487,2017-10-06 19:54:37,105.0,56122.0,2492.0,nan,3274531.0,3643886.0,nan,58.333333333333336,0 days 00:00:02,14.0,0.0
487,2017-10-06 19:54:38,104.0,55488.0,nan,nan,3274538.0,nan,nan,28.88888888888889,0 days 00:00:01,7.0,0.0
487,2017-10-06 19:54:39,103.0,55129.0,nan,nan,nan,nan,nan,28.61111111111111,0 days 00:00:01,0.0,0.0
