asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance_meter,speed_filled,meter_filled,load_filled,rpm_filled,avrg_speed,acceleration,distance_speed,distance_cum,delay,fuel,filled_speed,filled_meter,filled_load,filled_rpm
487,2017-10-21 01:38:50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False,False,False
487,2017-10-21 01:38:50,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,False,False,False
487,2017-10-21 01:38:53,7.0,nan,991.0,nan,nan,nan,nan,nan,7.0,nan,nan,991.0,nan,nan,5.833333333333333,5.833333333333333,3.0,nan,False,False,False,False
487,2017-10-21 01:38:53,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,991.0,991.0,7.0,nan,0.0,5.833333333333333,0.0,nan,True,False,True,True
487,2017-10-21 01:38:54,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,991.0,991.0,7.0,nan,1.9444444444444444,7.777777777777778,1.0,nan,True,False,True,True
487,2017-10-21 01:38:54,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,991.0,991.0,7.0,nan,0.0,7.777777777777778,0.0,nan,True,False,True,True
487,2017-10-21 01:38:55,nan,nan,680.0,nan,nan,nan,nan,nan,7.0,nan,991.0,680.0,7.0,nan,1.9444444444444444,9.722222222222221,1.0,nan,True,False,True,False
487,2017-10-21 01:38:55,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,680.0,680.0,7.0,nan,0.0,9.722222222222221,0.0,nan,True,False,True,True
487,2017-10-21 01:38:56,9.0,nan,nan,nan,nan,nan,nan,nan,9.0,nan,680.0,680.0,7.0,-2.0,2.5,12.222222222222221,1.0,nan,False,False,True,True
487,2017-10-21 01:38:56,nan,nan,nan,nan,nan,nan,nan,nan,9.0,nan,680.0,680.0,8.0,nan,0.0,12.222222222222221,0.0,nan,True,False,True,True
487,2017-10-21 01:38:56,nan,nan,nan,nan,nan,nan,nan,nan,9.0,nan,680.0,680.0,8.0,nan,0.0,12.222222222222221,0.0,nan,True,False,True,True
487,2017-10-21 01:38:56,nan,nan,nan,nan,nan,nan,nan,nan,9.0,nan,680.0,680.0,8.0,nan,0.0,12.222222222222221,0.0,nan,True,False,True,True
487,2017-10-21 01:38:57,nan,nan,nan,nan,nan,nan,nan,nan,9.0,nan,680.0,680.0,8.0,nan,2.5,14.722222222222221,1.0,nan,True,False,True,True
487,2017-10-21 01:38:58,8.0,0.0,nan,nan,nan,nan,nan,nan,8.0,nan,680.0,680.0,8.0,1.0,2.2222222222222223,16.944444444444443,1.0,nan,False,False,True,True
487,2017-10-21 01:39:04,0.0,nan,682.0,nan,3737392.0,nan,nan,nan,0.0,nan,680.0,682.0,8.0,8.0,0.0,16.944444444444443,6.0,nan,False,False,True,False
487,2017-10-21 01:39:05,nan,nan,nan,nan,3737393.0,nan,nan,nan,0.0,nan,682.0,682.0,6.0,nan,0.0,16.944444444444443,1.0,1.0,True,False,True,True
487,2017-10-21 01:39:30,nan,nan,650.0,5.0,3737400.0,nan,nan,nan,0.0,nan,5.0,650.0,6.0,nan,0.0,16.944444444444443,25.0,7.0,True,False,False,False
487,2017-10-21 01:39:55,nan,nan,649.0,nan,3737406.0,nan,nan,nan,0.0,nan,650.0,649.0,6.0,nan,0.0,16.944444444444443,25.0,6.0,True,False,True,False
487,2017-10-21 01:40:20,nan,nan,651.0,nan,3737413.0,nan,nan,nan,0.0,nan,649.0,651.0,6.0,nan,0.0,16.944444444444443,25.0,7.0,True,False,True,False
487,2017-10-21 01:40:46,nan,nan,650.0,nan,3737419.0,nan,nan,nan,0.0,nan,651.0,650.0,6.0,nan,0.0,16.944444444444443,26.0,6.0,True,False,True,False
487,2017-10-21 01:41:11,3.0,nan,645.0,4.0,3737425.0,nan,nan,nan,3.0,nan,4.0,645.0,6.0,-3.0,20.833333333333332,37.77777777777777,25.0,6.0,False,False,False,False
487,2017-10-21 01:41:36,0.0,nan,641.0,15.0,3737436.0,nan,nan,nan,0.0,nan,15.0,641.0,5.4,3.0,0.0,37.77777777777777,25.0,11.0,False,False,False,False
487,2017-10-21 01:42:01,nan,nan,0.0,0.0,3737438.0,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,25.0,2.0,True,False,False,False
487,2017-10-21 01:42:30,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,29.000000000000004,2.0,True,False,True,True
487,2017-10-21 01:42:30,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,0.0,2.0,True,False,True,True
487,2017-10-21 01:42:30,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,0.0,2.0,True,False,True,True
487,2017-10-21 01:42:30,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,0.0,2.0,True,False,True,True
487,2017-10-21 01:42:30,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,0.0,2.0,True,False,True,True
487,2017-10-21 01:42:30,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,0.0,2.0,True,False,True,True
487,2017-10-21 01:42:31,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,1.0,2.0,True,False,True,True
487,2017-10-21 01:42:57,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,26.0,2.0,True,False,True,True
487,2017-10-21 01:43:15,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,18.0,2.0,True,False,True,True
487,2017-10-21 01:43:39,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,24.0,2.0,True,False,True,True
487,2017-10-21 01:44:04,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,25.0,2.0,True,False,True,True
487,2017-10-21 01:44:29,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,25.0,2.0,True,False,True,True
487,2017-10-21 01:44:55,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,26.0,2.0,True,False,True,True
487,2017-10-21 01:45:21,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,26.0,2.0,True,False,True,True
487,2017-10-21 01:45:47,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,26.0,2.0,True,False,True,True
487,2017-10-21 01:46:12,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,25.0,2.0,True,False,True,True
487,2017-10-21 01:46:37,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,25.0,2.0,True,False,True,True
487,2017-10-21 01:47:03,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,26.0,2.0,True,False,True,True
487,2017-10-21 01:47:28,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,25.0,2.0,True,False,True,True
487,2017-10-21 01:47:53,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,25.0,2.0,True,False,True,True
487,2017-10-21 01:48:19,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,26.0,2.0,True,False,True,True
487,2017-10-21 01:48:44,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,25.0,2.0,True,False,True,True
487,2017-10-21 01:49:09,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,25.0,2.0,True,False,True,True
487,2017-10-21 01:49:34,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,25.0,2.0,True,False,True,True
487,2017-10-21 01:50:00,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,26.0,2.0,True,False,True,True
487,2017-10-21 01:50:26,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,26.0,2.0,True,False,True,True
487,2017-10-21 01:50:51,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,25.0,2.0,True,False,True,True
487,2017-10-21 01:51:15,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,24.0,2.0,True,False,True,True
487,2017-10-21 01:51:40,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,25.0,2.0,True,False,True,True
487,2017-10-21 01:52:06,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,26.0,2.0,True,False,True,True
487,2017-10-21 01:52:31,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,25.0,2.0,True,False,True,True
487,2017-10-21 01:52:41,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,10.0,2.0,True,False,True,True
487,2017-10-21 01:53:07,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,26.0,2.0,True,False,True,True
487,2017-10-21 01:53:20,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,4.5,nan,0.0,37.77777777777777,13.0,2.0,True,False,True,True
