asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance,delay,fuel,filled
487,2017-10-21 19:59:22,nan,0.0,nan,9.0,3750731.0,226328.0,nan,nan,nan,nan,nan
487,2017-10-21 19:59:52,nan,1041.0,651.0,24.0,3750747.0,nan,nan,nan,0 days 00:00:30,16.0,1.0
487,2017-10-21 20:00:23,nan,0.0,639.0,nan,3750762.0,nan,nan,nan,0 days 00:00:31,15.0,0.0
487,2017-10-21 20:00:53,2.0,190.0,635.0,27.0,3750833.0,226521.0,nan,16.66666666666667,0 days 00:00:30,71.0,0.0
487,2017-10-21 20:01:23,7.0,4174.0,1060.0,nan,3750890.0,226594.0,nan,58.33333333333334,0 days 00:00:30,57.0,0.0
487,2017-10-21 20:01:54,0.0,0.0,637.0,64.0,3750928.0,226711.0,nan,0.0,0 days 00:00:31,38.0,0.0
487,2017-10-21 20:02:24,8.0,1121.0,650.0,23.0,3750942.0,226713.0,nan,66.66666666666669,0 days 00:00:30,14.0,0.0
487,2017-10-21 20:02:25,8.0,nan,nan,nan,nan,nan,nan,2.2222222222222223,0 days 00:00:01,6.92724664648147e-310,1.0
487,2017-10-21 20:02:34,12.0,nan,649.0,7.0,3750944.0,nan,nan,30.0,0 days 00:00:09,2.0,0.0
487,2017-10-21 20:03:01,0.0,nan,653.0,nan,3750952.0,nan,nan,0.0,0 days 00:00:27,8.0,0.0
487,2017-10-21 20:03:27,0.0,nan,650.0,5.0,3750959.0,nan,nan,0.0,0 days 00:00:26,7.0,1.0
487,2017-10-21 20:03:52,0.0,nan,651.0,nan,3750965.0,nan,nan,0.0,0 days 00:00:25,6.0,1.0
487,2017-10-21 20:04:17,nan,nan,650.0,nan,3750972.0,nan,nan,0.0,0 days 00:00:25,7.0,1.0
487,2017-10-21 20:04:42,nan,nan,nan,nan,3750978.0,nan,nan,0.0,0 days 00:00:25,6.0,1.0
487,2017-10-21 20:05:07,nan,nan,651.0,nan,3750985.0,nan,nan,0.0,0 days 00:00:25,7.0,1.0
487,2017-10-21 20:05:32,nan,nan,650.0,nan,3750991.0,nan,nan,0.0,0 days 00:00:25,6.0,1.0
487,2017-10-21 20:05:58,nan,nan,nan,nan,3750998.0,nan,nan,0.0,0 days 00:00:26,7.0,1.0
487,2017-10-21 20:06:24,nan,nan,nan,nan,3751004.0,nan,nan,0.0,0 days 00:00:26,6.0,1.0
487,2017-10-21 20:06:49,nan,nan,nan,nan,3751010.0,nan,nan,0.0,0 days 00:00:25,6.0,1.0
487,2017-10-21 20:07:14,nan,nan,nan,nan,3751017.0,nan,nan,0.0,0 days 00:00:25,7.0,1.0
487,2017-10-21 20:07:40,nan,nan,nan,nan,3751024.0,nan,nan,0.0,0 days 00:00:26,7.0,1.0
487,2017-10-21 20:08:06,nan,nan,651.0,nan,3751030.0,nan,nan,0.0,0 days 00:00:26,6.0,1.0
487,2017-10-21 20:08:31,nan,nan,650.0,nan,3751037.0,nan,nan,0.0,0 days 00:00:25,7.0,1.0
487,2017-10-21 20:08:57,nan,nan,nan,nan,3751044.0,nan,nan,0.0,0 days 00:00:26,7.0,1.0
487,2017-10-21 20:09:09,nan,nan,nan,nan,3751047.0,nan,nan,0.0,0 days 00:00:12,3.0,1.0
487,2017-10-21 20:09:36,nan,nan,nan,nan,3751054.0,nan,nan,0.0,0 days 00:00:27,7.0,1.0
