asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance_meter,speed_filled,meter_filled,load_filled,rpm_filled,avrg_speed,acceleration,distance_speed,distance_cum,delay,fuel,filled_speed,filled_meter,filled_load,filled_rpm
487,2017-10-15 02:17:56,nan,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False,False,False
487,2017-10-15 02:17:56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,False,False,False
487,2017-10-15 02:17:57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,False,False,False,False
487,2017-10-15 02:18:00,7.0,nan,1125.0,nan,nan,nan,nan,nan,7.0,nan,nan,1125.0,nan,nan,5.833333333333333,5.833333333333333,3.0,nan,False,False,False,False
487,2017-10-15 02:18:02,nan,nan,681.0,nan,nan,nan,nan,nan,7.0,nan,1125.0,681.0,7.0,nan,3.888888888888889,9.722222222222221,2.0,nan,True,False,True,False
487,2017-10-15 02:18:03,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,681.0,681.0,7.0,nan,1.9444444444444444,11.666666666666666,1.0,nan,True,False,True,True
487,2017-10-15 02:18:03,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,681.0,681.0,7.0,nan,0.0,11.666666666666666,0.0,nan,True,False,True,True
487,2017-10-15 02:18:03,nan,nan,nan,nan,nan,nan,nan,nan,7.0,nan,681.0,681.0,7.0,nan,0.0,11.666666666666666,0.0,nan,True,False,True,True
487,2017-10-15 02:18:04,6.0,nan,nan,nan,nan,nan,nan,nan,6.0,nan,681.0,681.0,7.0,1.0,1.6666666666666667,13.333333333333332,1.0,nan,False,False,True,True
487,2017-10-15 02:18:05,9.0,nan,nan,nan,nan,nan,nan,nan,9.0,nan,681.0,681.0,6.5,-3.0,2.5,15.833333333333332,1.0,nan,False,False,True,True
487,2017-10-15 02:18:05,nan,nan,nan,nan,nan,nan,nan,nan,9.0,nan,681.0,681.0,7.333333333333333,nan,0.0,15.833333333333332,0.0,nan,True,False,True,True
487,2017-10-15 02:18:09,31.0,nan,1615.0,nan,3543693.0,nan,nan,nan,31.0,nan,681.0,1615.0,7.333333333333333,-22.0,34.44444444444444,50.27777777777777,4.0,nan,False,False,True,False
487,2017-10-15 02:18:14,38.0,19514.0,1742.0,nan,3543710.0,nan,nan,nan,38.0,nan,1615.0,1742.0,13.25,-7.0,52.77777777777778,103.05555555555554,5.0,17.0,False,False,True,False
487,2017-10-15 02:18:14,nan,nan,nan,nan,nan,nan,nan,nan,38.0,nan,1742.0,1742.0,18.2,nan,0.0,103.05555555555554,0.0,17.0,True,False,True,True
487,2017-10-15 02:18:45,47.0,24410.0,1640.0,40.0,3543806.0,4712640.0,nan,nan,47.0,4712640.0,40.0,1640.0,18.2,-9.0,404.7222222222223,507.7777777777778,31.000000000000004,96.0,False,False,False,False
487,2017-10-15 02:19:16,42.0,22027.0,1568.0,4.0,3543824.0,4712939.0,nan,299.0,42.0,4712939.0,4.0,1568.0,23.0,5.0,361.66666666666674,869.4444444444446,31.000000000000004,18.0,False,False,False,False
487,2017-10-15 02:19:47,38.0,20210.0,1578.0,19.0,3543855.0,4713093.0,nan,154.0,38.0,4713093.0,19.0,1578.0,25.714285714285715,4.0,327.2222222222223,1196.666666666667,31.000000000000004,31.0,False,False,False,False
487,2017-10-15 02:20:17,43.0,22522.0,1607.0,0.0,3543898.0,4713428.0,nan,335.0,43.0,4713428.0,0.0,1607.0,27.25,-5.0,358.33333333333337,1555.0000000000005,30.000000000000004,43.0,False,False,False,False
487,2017-10-15 02:20:47,42.0,22071.0,1517.0,32.0,3543954.0,4713812.0,nan,384.0,42.0,4713812.0,32.0,1517.0,29.0,1.0,350.00000000000006,1905.0000000000005,30.000000000000004,56.0,False,False,False,False
487,2017-10-15 02:21:18,43.0,23094.0,1564.0,33.0,3543980.0,4714082.0,nan,270.0,43.0,4714082.0,33.0,1564.0,30.3,-1.0,370.2777777777778,2275.2777777777783,31.000000000000004,26.0,False,False,False,False
487,2017-10-15 02:21:48,46.0,24542.0,1753.0,35.0,3544062.0,4714459.0,nan,377.0,46.0,4714459.0,35.0,1753.0,31.454545454545453,-3.0,383.33333333333337,2658.6111111111118,30.000000000000004,82.0,False,False,False,False
487,2017-10-15 02:22:19,7.0,4734.0,650.0,1.0,3544070.0,4714619.0,nan,160.0,7.0,4714619.0,1.0,650.0,32.666666666666664,39.0,60.27777777777779,2718.8888888888896,31.000000000000004,8.0,False,False,False,False
487,2017-10-15 02:22:50,39.0,21031.0,1324.0,16.0,3544163.0,4714849.0,nan,230.0,39.0,4714849.0,16.0,1324.0,30.692307692307693,-32.0,335.83333333333337,3054.722222222223,31.000000000000004,93.0,False,False,False,False
487,2017-10-15 02:23:20,6.0,4520.0,640.0,23.0,3544203.0,4715126.0,nan,277.0,6.0,4715126.0,23.0,640.0,31.285714285714285,33.0,50.000000000000014,3104.722222222223,30.000000000000004,40.0,False,False,False,False
487,2017-10-15 02:23:51,14.0,7328.0,907.0,9.0,3544217.0,4715212.0,nan,86.0,14.0,4715212.0,9.0,907.0,29.6,-8.0,120.55555555555559,3225.2777777777787,31.000000000000004,14.0,False,False,False,False
487,2017-10-15 02:24:21,3.0,2461.0,648.0,0.0,3544233.0,4715289.0,nan,77.0,3.0,4715289.0,0.0,648.0,28.625,11.0,25.000000000000007,3250.2777777777787,30.000000000000004,16.0,False,False,False,False
487,2017-10-15 02:24:52,0.0,0.0,658.0,35.0,3544253.0,4715292.0,nan,3.0,0.0,4715292.0,35.0,658.0,27.11764705882353,3.0,0.0,3250.2777777777787,31.000000000000004,20.0,False,False,False,False
487,2017-10-15 02:25:23,nan,1179.0,647.0,38.0,3544268.0,4715300.0,nan,8.0,0.0,4715300.0,38.0,647.0,25.61111111111111,nan,0.0,3250.2777777777787,31.000000000000004,15.0,True,False,False,False
487,2017-10-15 02:25:54,nan,0.0,642.0,nan,3544288.0,nan,nan,8.0,0.0,4715300.0,647.0,642.0,25.61111111111111,nan,0.0,3250.2777777777787,31.000000000000004,20.0,True,True,True,False
487,2017-10-15 02:26:24,nan,nan,0.0,13.0,3544295.0,nan,nan,nan,0.0,nan,13.0,0.0,25.61111111111111,nan,0.0,3250.2777777777787,30.000000000000004,7.0,True,False,False,False
