asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance_meter,speed_filled,meter_filled,load_filled,rpm_filled,avrg_speed,distance_speed,distance_cum,delay,fuel,filled_speed,filled_meter,filled_load,filled_rpm
487,2017-10-03 14:37:55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False,False,False
487,2017-10-03 14:37:55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,False,False,False
487,2017-10-03 14:37:58,nan,nan,950.0,nan,nan,nan,nan,nan,nan,nan,nan,950.0,nan,nan,0.0,3.0,nan,False,False,False,False
487,2017-10-03 14:37:58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,950.0,950.0,nan,nan,0.0,0.0,nan,False,False,True,True
487,2017-10-03 14:37:59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,950.0,950.0,nan,nan,0.0,1.0,nan,False,False,True,True
487,2017-10-03 14:38:00,nan,nan,617.0,nan,nan,nan,nan,nan,nan,nan,950.0,617.0,nan,nan,0.0,1.0,nan,False,False,True,False
487,2017-10-03 14:38:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,617.0,617.0,nan,nan,0.0,0.0,nan,False,False,True,True
487,2017-10-03 14:38:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,617.0,617.0,nan,nan,0.0,0.0,nan,False,False,True,True
487,2017-10-03 14:38:02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,617.0,617.0,nan,nan,0.0,2.0,nan,False,False,True,True
487,2017-10-03 14:38:03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,617.0,617.0,nan,nan,0.0,1.0,nan,False,False,True,True
487,2017-10-03 14:38:08,nan,nan,651.0,nan,3195906.0,nan,nan,nan,nan,nan,617.0,651.0,nan,nan,0.0,5.0,nan,False,False,True,False
487,2017-10-03 14:38:09,nan,6955.0,971.0,nan,nan,nan,nan,nan,nan,nan,651.0,971.0,nan,nan,0.0,1.0,nan,False,False,True,False
487,2017-10-03 14:38:09,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,971.0,971.0,nan,nan,0.0,0.0,nan,False,False,True,True
487,2017-10-03 14:38:40,nan,134.0,950.0,8.0,3195919.0,nan,nan,nan,nan,nan,8.0,950.0,nan,nan,0.0,31.000000000000004,13.0,False,False,False,False
487,2017-10-03 14:39:11,4.0,2453.0,668.0,7.0,3195931.0,nan,nan,nan,4.0,nan,7.0,668.0,nan,34.44444444444445,34.44444444444445,31.000000000000004,12.0,False,False,False,False
487,2017-10-03 14:39:41,17.0,9000.0,1207.0,33.0,3195969.0,3297354.0,nan,nan,17.0,3297354.0,33.0,1207.0,4.0,141.66666666666669,176.11111111111114,30.000000000000004,38.0,False,False,False,False
487,2017-10-03 14:40:12,13.0,5814.0,1776.0,53.0,3196025.0,3297480.0,nan,126.0,13.0,3297480.0,53.0,1776.0,10.5,111.94444444444447,288.0555555555556,31.000000000000004,56.0,False,False,False,False
487,2017-10-03 14:40:42,53.0,27841.0,1495.0,43.0,3196110.0,3297755.0,nan,275.0,53.0,3297755.0,43.0,1495.0,11.333333333333334,441.66666666666674,729.7222222222224,30.000000000000004,85.0,False,False,False,False
487,2017-10-03 14:41:13,nan,27881.0,1962.0,0.0,3196203.0,3298133.0,nan,378.0,53.0,3298133.0,0.0,1962.0,21.75,456.38888888888897,1186.1111111111113,31.000000000000004,93.0,True,False,False,False
487,2017-10-03 14:41:44,50.0,25344.0,1820.0,nan,3196277.0,3298454.0,nan,321.0,50.0,3298454.0,1962.0,1820.0,21.75,430.55555555555566,1616.666666666667,31.000000000000004,74.0,False,False,True,False
487,2017-10-03 14:42:14,46.0,24345.0,1667.0,nan,3196398.0,3298739.0,nan,285.0,46.0,3298739.0,1820.0,1667.0,27.4,383.33333333333337,2000.0000000000005,30.000000000000004,121.0,False,False,True,False
487,2017-10-03 14:42:44,38.0,19337.0,1798.0,9.0,3196441.0,3299044.0,nan,305.0,38.0,3299044.0,9.0,1798.0,30.5,316.66666666666674,2316.666666666667,30.000000000000004,43.0,False,False,False,False
487,2017-10-03 14:43:15,36.0,18263.0,1754.0,0.0,3196516.0,3299282.0,nan,238.0,36.0,3299282.0,0.0,1754.0,31.571428571428573,310.00000000000006,2626.666666666667,31.000000000000004,75.0,False,False,False,False
487,2017-10-03 14:43:46,39.0,19827.0,1759.0,6.0,3196573.0,3299501.0,nan,219.0,39.0,3299501.0,6.0,1759.0,32.125,335.83333333333337,2962.5000000000005,31.000000000000004,57.0,False,False,False,False
487,2017-10-03 14:44:16,19.0,9933.0,1388.0,18.0,3196642.0,3299775.0,nan,274.0,19.0,3299775.0,18.0,1388.0,32.888888888888886,158.33333333333337,3120.833333333334,30.000000000000004,69.0,False,False,False,False
487,2017-10-03 14:44:46,0.0,172.0,949.0,25.0,3196673.0,3299873.0,nan,98.0,0.0,3299873.0,25.0,949.0,31.5,0.0,3120.833333333334,30.000000000000004,31.0,False,False,False,False
487,2017-10-03 14:45:16,nan,146.0,0.0,0.0,3196686.0,nan,nan,98.0,0.0,3299873.0,0.0,0.0,28.636363636363637,0.0,3120.833333333334,30.000000000000004,13.0,True,True,False,False
487,2017-10-03 14:45:47,nan,0.0,nan,nan,nan,nan,nan,98.0,0.0,3299873.0,0.0,0.0,28.636363636363637,0.0,3120.833333333334,31.000000000000004,13.0,True,True,True,True
487,2017-10-03 14:46:17,nan,nan,nan,nan,nan,nan,nan,98.0,0.0,3299873.0,0.0,0.0,28.636363636363637,0.0,3120.833333333334,30.000000000000004,13.0,True,True,True,True
