asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE
487,2017-10-01T13:43:29Z, , , , , , , 
487,2017-10-01T13:43:36Z, ,916, , , , , 
487,2017-10-01T13:43:41Z, ,660, , , , , 
487,2017-10-01T13:43:43Z, ,1058, , , , , 
487,2017-10-01T13:43:49Z, ,1921, , , , , 
487,2017-10-01T13:43:53Z, ,1360, , , , , 
487,2017-10-01T13:43:59Z, ,780, , , , , 
487,2017-10-01T13:44:05Z, ,1635, , , , , 
487,2017-10-01T13:44:07Z, ,6369, , , , , 
487,2017-10-01T13:44:15Z, ,5240, , , , , 
487,2017-10-01T13:44:21Z, ,1135, , , , , 
487,2017-10-01T13:44:25Z, ,0, , , , , 
487,2017-10-01T13:44:35Z, ,436, , , , , 
487,2017-10-01T14:25:57Z, , , , , , , 
487,2017-10-01T14:25:57Z, , , , , , , 
487,2017-10-01T14:26:00Z, , ,949, , , , 
487,2017-10-01T14:26:00Z, , , , , , , 
487,2017-10-01T14:26:03Z, , , , , , , 
487,2017-10-01T14:26:03Z, , ,934, , , , 
487,2017-10-01T14:26:03Z, , , , , , , 
487,2017-10-01T14:26:05Z, , , , , , , 
487,2017-10-01T14:26:06Z, ,0, , , , , 
487,2017-10-01T14:26:08Z,5, , , ,3180306, , 
487,2017-10-01T14:26:11Z, , ,665, ,3180307, , 
487,2017-10-01T14:26:20Z,6,3402,921, ,3180315, , 
487,2017-10-01T14:26:20Z, , , , , , , 
487,2017-10-01T14:26:26Z,5,2000,741, ,3180318,3224662, 
487,2017-10-01T14:26:31Z,3,1342,641,40,3180323,3224699, 
487,2017-10-01T14:27:01Z,0,360,651,27,3180341, , 
487,2017-10-01T14:27:32Z, ,128,654, ,3180357, , 
487,2017-10-01T14:28:02Z,10,273,675,29,3180374,3224768, 
487,2017-10-01T14:28:32Z,11,5178,682,2,3180382,3224841, 
487,2017-10-01T14:29:03Z,9,4878,643,27,3180392,3224915, 
487,2017-10-01T14:29:33Z,35,18148,1780,16,3180436,3224996, 
487,2017-10-01T14:29:54Z,23,14754,1064, ,3180464,3225252, 
487,2017-10-01T14:29:58Z,14,12137,1057,21,3180468,3225283, 
487,2017-10-01T14:30:01Z, ,9537, , ,3180472,3225301, 
487,2017-10-01T14:30:32Z,34,17616,1752,31,3180562,3225521, 
487,2017-10-01T14:31:03Z,0,0,650,24,3180591,3225629, 
487,2017-10-01T14:31:33Z,47,24489,1726,37,3180658,3225799, 
487,2017-10-01T14:32:03Z,17,8033,1724,2,3180687,3226123, 
487,2017-10-01T14:32:34Z,23,13012,722,0,3180751,3226416, 
487,2017-10-01T14:33:04Z,41,21676,1519,28,3180828,3226667, 
487,2017-10-01T14:33:35Z,32,16802,1514,54,3180862,3226846, 
487,2017-10-01T14:34:06Z,45,23289,1615,0,3180927,3227051, 
487,2017-10-01T14:34:37Z,0,0,651,22,3180968,3227310, 
487,2017-10-01T14:35:07Z,55,29113,1966,63,3181043,3227432, 
487,2017-10-01T14:35:22Z,70,34424,1610, ,3181098,3227688, 
487,2017-10-01T14:35:24Z,68,36720, , ,3181106, , 
487,2017-10-01T14:35:25Z, ,35716,1578, ,3181109,3227760, 
487,2017-10-01T14:35:27Z,65,34123, , ,3181113, , 
487,2017-10-01T14:35:29Z,63,33130, , ,3181120,3227831, 
487,2017-10-01T14:35:31Z,62,32455,1456,23,3181126, , 
