asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE
29,2017-10-01T02:58:12Z,70,38104,1288,46,4744466,76094201,69881
29,2017-10-01T03:00:10Z, , , , , , , 
29,2017-10-01T03:00:13Z,40,21384,1788,15,4744624,76095685,69882
29,2017-10-01T03:00:14Z, ,21517, , ,4744626,76095720, 
29,2017-10-01T03:01:03Z,0,0,650,19,4744674,76095843, 
29,2017-10-01T03:01:03Z, , , , , , , 
29,2017-10-01T03:01:04Z, , , , , , , 
29,2017-10-01T03:01:04Z, , , , , , , 
29,2017-10-01T03:01:04Z, , , , , , , 
29,2017-10-01T03:01:04Z, , , , , , , 
29,2017-10-01T03:01:04Z, , , , , , , 
29,2017-10-01T03:01:09Z, , ,712, , , , 
29,2017-10-01T03:01:10Z, , , , , , , 
29,2017-10-01T03:01:10Z, , , , , , , 
29,2017-10-01T03:01:10Z, , , , , , , 
29,2017-10-01T03:01:10Z, , , , , , , 
29,2017-10-01T03:01:16Z, , ,663, ,4744676, , 
29,2017-10-01T03:01:16Z, , , , , , , 
29,2017-10-01T03:01:16Z, , , , , , , 
29,2017-10-01T03:01:16Z, , , , , , , 
29,2017-10-01T03:01:16Z, , , , , , , 
29,2017-10-01T03:01:21Z, , ,675, , , , 
29,2017-10-01T03:01:21Z, , , , , , , 
29,2017-10-01T03:01:22Z, , , , , , , 
29,2017-10-01T03:01:38Z, ,88,650, ,4744684, , 
29,2017-10-01T03:01:39Z, ,0, , , , , 
29,2017-10-01T03:01:39Z, , , , , , , 
29,2017-10-01T03:01:39Z, , , , , , , 
29,2017-10-01T03:01:39Z, , , , , , , 
29,2017-10-01T03:01:45Z, , ,675, , , , 
29,2017-10-01T03:01:45Z, , , , , , , 
29,2017-10-01T03:01:46Z, , , , , , , 
29,2017-10-01T03:02:06Z, , ,650,20,4744692, , 
29,2017-10-01T03:02:07Z, , , , , , , 
29,2017-10-01T03:02:07Z, , , , , , , 
29,2017-10-01T03:02:07Z, , , , , , , 
29,2017-10-01T03:02:07Z, , , , , , , 
29,2017-10-01T03:02:15Z, , ,687, , , , 
29,2017-10-01T03:02:15Z, , , , , , , 
29,2017-10-01T03:02:16Z, , , , , , , 
29,2017-10-01T03:02:47Z, , ,650,24,4744703, , 
