asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance_meter,speed_filled,meter_filled,avrg_speed,distance_speed,distance_cum,delay,fuel,filled_speed,filled_meter
487,2017-10-15 00:39:14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False
487,2017-10-15 00:39:14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,False
487,2017-10-15 00:39:17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,3.0,nan,False,False
487,2017-10-15 00:39:19,nan,nan,634.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,2.0,nan,False,False
487,2017-10-15 00:39:19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,False
487,2017-10-15 00:39:19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,False
487,2017-10-15 00:39:20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,False,False
487,2017-10-15 00:39:20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,False
487,2017-10-15 00:39:20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,False
487,2017-10-15 00:39:20,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,False
487,2017-10-15 00:39:32,7.0,4283.0,904.0,nan,3542943.0,nan,nan,nan,7.0,nan,nan,23.333333333333332,23.333333333333332,12.0,nan,False,False
487,2017-10-15 00:40:01,12.0,7346.0,1177.0,62.0,3542991.0,4708829.0,nan,nan,12.0,4708829.0,7.0,96.66666666666669,120.00000000000001,29.000000000000004,48.0,False,False
487,2017-10-15 00:40:32,40.0,22197.0,1568.0,31.0,3543098.0,4709147.0,nan,318.0,40.0,4709147.0,9.5,344.4444444444445,464.4444444444445,31.000000000000004,107.0,False,False
487,2017-10-15 00:41:02,54.0,28254.0,1552.0,10.0,3543141.0,4709391.0,nan,244.0,54.0,4709391.0,19.666666666666668,450.0000000000001,914.4444444444446,30.000000000000004,43.0,False,False
487,2017-10-15 00:41:33,50.0,26422.0,1444.0,0.0,3543240.0,4709813.0,nan,422.0,50.0,4709813.0,28.25,430.55555555555566,1345.0000000000002,31.000000000000004,99.0,False,False
487,2017-10-15 00:42:04,45.0,23379.0,1628.0,nan,3543247.0,4710206.0,nan,393.0,45.0,4710206.0,32.6,387.50000000000006,1732.5000000000002,31.000000000000004,7.0,False,False
487,2017-10-15 00:42:34,42.0,22923.0,1680.0,7.0,3543315.0,4710593.0,nan,387.0,42.0,4710593.0,34.666666666666664,350.00000000000006,2082.5000000000005,30.000000000000004,68.0,False,False
487,2017-10-15 00:43:05,47.0,25104.0,1576.0,23.0,3543366.0,4710772.0,nan,179.0,47.0,4710772.0,35.714285714285715,404.7222222222223,2487.2222222222226,31.000000000000004,51.0,False,False
487,2017-10-15 00:43:35,34.0,18147.0,1356.0,0.0,3543418.0,4711146.0,nan,374.0,34.0,4711146.0,37.125,283.33333333333337,2770.555555555556,30.000000000000004,52.0,False,False
487,2017-10-15 00:44:05,6.0,3687.0,631.0,nan,3543432.0,4711290.0,nan,144.0,6.0,4711290.0,36.77777777777778,50.000000000000014,2820.555555555556,30.000000000000004,14.0,False,False
487,2017-10-15 00:44:36,5.0,3041.0,650.0,25.0,3543447.0,4711310.0,nan,20.0,5.0,4711310.0,33.7,43.055555555555564,2863.6111111111118,31.000000000000004,15.0,False,False
487,2017-10-15 00:45:07,58.0,30385.0,2374.0,22.0,3543497.0,4711423.0,nan,113.0,58.0,4711423.0,31.09090909090909,499.44444444444457,3363.0555555555566,31.000000000000004,50.0,False,False
487,2017-10-15 00:45:15,65.0,33975.0,1487.0,67.0,3543553.0,4711549.0,nan,126.0,65.0,4711549.0,33.333333333333336,144.44444444444446,3507.500000000001,8.0,56.0,False,False
487,2017-10-15 00:45:16,64.0,34258.0,nan,nan,3543556.0,nan,nan,126.0,64.0,4711549.0,35.76923076923077,17.77777777777778,3525.2777777777787,1.0,3.0,False,True
487,2017-10-15 00:45:18,68.0,35326.0,1556.0,nan,3543564.0,nan,nan,126.0,68.0,4711549.0,37.785714285714285,37.77777777777778,3563.0555555555566,2.0,8.0,False,True
487,2017-10-15 00:45:19,nan,35185.0,nan,nan,3543567.0,4711636.0,nan,87.0,68.0,4711636.0,39.8,18.88888888888889,3581.9444444444453,1.0,3.0,True,False
487,2017-10-15 00:45:20,nan,35360.0,nan,nan,3543571.0,nan,nan,87.0,68.0,4711636.0,39.8,18.88888888888889,3600.833333333334,1.0,4.0,True,True
487,2017-10-15 00:45:22,65.0,34625.0,nan,nan,3543578.0,nan,nan,87.0,65.0,4711636.0,39.8,36.111111111111114,3636.9444444444453,2.0,7.0,False,True
