asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance_meter,speed_filled,meter_filled,avrg_speed,distance_speed,distance_cum,delay,fuel,filled_speed,filled_meter
487,2017-10-20 21:07:44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False
487,2017-10-20 21:07:44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,False
487,2017-10-20 21:07:46,nan,nan,752.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,2.0,nan,False,False
487,2017-10-20 21:07:46,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,False
487,2017-10-20 21:07:49,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,3.0,nan,False,False
487,2017-10-20 21:07:49,nan,nan,629.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,False
487,2017-10-20 21:07:49,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,False
487,2017-10-20 21:07:51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,2.0,nan,False,False
487,2017-10-20 21:07:52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan,False,False
487,2017-10-20 21:07:57,nan,nan,655.0,nan,3734335.0,nan,nan,nan,nan,nan,nan,nan,0.0,5.0,nan,False,False
487,2017-10-20 21:08:23,7.0,nan,969.0,23.0,3734353.0,nan,nan,nan,7.0,nan,nan,50.55555555555556,50.55555555555556,26.0,18.0,False,False
487,2017-10-20 21:08:48,0.0,nan,650.0,25.0,3734362.0,nan,nan,nan,0.0,nan,7.0,0.0,50.55555555555556,25.0,9.0,False,False
487,2017-10-20 21:08:56,4.0,1276.0,626.0,nan,3734366.0,nan,nan,nan,4.0,nan,3.5,8.88888888888889,59.44444444444444,8.0,4.0,False,False
487,2017-10-20 21:08:56,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,3.6666666666666665,0.0,59.44444444444444,0.0,4.0,True,False
487,2017-10-20 21:09:27,8.0,4532.0,676.0,24.0,3734382.0,175161.0,nan,nan,8.0,175161.0,3.6666666666666665,68.8888888888889,128.33333333333334,31.000000000000004,16.0,False,False
487,2017-10-20 21:09:57,0.0,201.0,660.0,7.0,3734399.0,175247.0,nan,86.0,0.0,175247.0,4.75,0.0,128.33333333333334,30.000000000000004,17.0,False,False
487,2017-10-20 21:10:28,nan,0.0,650.0,6.0,3734409.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,31.000000000000004,10.0,True,True
487,2017-10-20 21:10:58,nan,nan,649.0,nan,3734418.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,30.000000000000004,9.0,True,True
487,2017-10-20 21:11:28,nan,nan,650.0,nan,3734426.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,30.000000000000004,8.0,True,True
487,2017-10-20 21:11:59,nan,nan,nan,nan,3734434.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,31.000000000000004,8.0,True,True
487,2017-10-20 21:12:29,nan,nan,652.0,nan,3734442.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,30.000000000000004,8.0,True,True
487,2017-10-20 21:13:00,nan,nan,650.0,5.0,3734450.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,31.000000000000004,8.0,True,True
487,2017-10-20 21:13:30,nan,nan,nan,nan,3734458.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,30.000000000000004,8.0,True,True
487,2017-10-20 21:14:01,nan,nan,nan,nan,3734466.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,31.000000000000004,8.0,True,True
487,2017-10-20 21:14:32,nan,nan,649.0,6.0,3734474.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,31.000000000000004,8.0,True,True
487,2017-10-20 21:14:49,nan,nan,651.0,5.0,3734479.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,17.0,5.0,True,True
487,2017-10-20 21:15:19,nan,nan,nan,nan,3734487.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,30.000000000000004,8.0,True,True
487,2017-10-20 21:15:49,nan,nan,650.0,nan,3734495.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,30.000000000000004,8.0,True,True
487,2017-10-20 21:16:20,nan,nan,nan,nan,3734503.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,31.000000000000004,8.0,True,True
487,2017-10-20 21:16:50,nan,nan,nan,nan,3734511.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,30.000000000000004,8.0,True,True
487,2017-10-20 21:17:20,nan,nan,651.0,nan,3734519.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,30.000000000000004,8.0,True,True
487,2017-10-20 21:17:50,nan,nan,650.0,nan,3734527.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,30.000000000000004,8.0,True,True
487,2017-10-20 21:18:21,nan,nan,649.0,nan,3734535.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,31.000000000000004,8.0,True,True
487,2017-10-20 21:18:51,nan,nan,nan,nan,3734543.0,nan,nan,86.0,0.0,175247.0,3.8,0.0,128.33333333333334,30.000000000000004,8.0,True,True
