asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance_meter,speed_filled,meter_filled,avrg_speed,distance_speed,distance_cum,delay,fuel
487,2017-10-17 01:38:55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
487,2017-10-17 01:38:56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,1.0,nan
487,2017-10-17 01:38:59,2.0,nan,655.0,nan,nan,nan,nan,nan,2.0,nan,nan,1.6666666666666667,1.6666666666666667,3.0,nan
487,2017-10-17 01:38:59,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan,2.0,0.0,1.6666666666666667,0.0,nan
487,2017-10-17 01:39:00,0.0,nan,997.0,nan,nan,nan,nan,nan,0.0,nan,2.0,0.0,1.6666666666666667,1.0,nan
487,2017-10-17 01:39:02,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,1.0,0.0,1.6666666666666667,2.0,nan
487,2017-10-17 01:39:02,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,1.0,0.0,1.6666666666666667,0.0,nan
487,2017-10-17 01:39:02,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,1.0,0.0,1.6666666666666667,0.0,nan
487,2017-10-17 01:39:02,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,1.0,0.0,1.6666666666666667,0.0,nan
487,2017-10-17 01:39:03,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,1.0,0.0,1.6666666666666667,1.0,nan
487,2017-10-17 01:39:04,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,1.0,0.0,1.6666666666666667,1.0,nan
487,2017-10-17 01:39:09,4.0,nan,656.0,nan,3693249.0,nan,nan,nan,4.0,nan,1.0,5.555555555555555,7.222222222222222,5.0,nan
487,2017-10-17 01:39:15,13.0,6154.0,1006.0,nan,3693254.0,nan,nan,nan,13.0,nan,2.0,21.666666666666668,28.88888888888889,6.0,5.0
487,2017-10-17 01:39:15,nan,nan,nan,nan,nan,nan,nan,nan,13.0,nan,4.75,0.0,28.88888888888889,0.0,nan
487,2017-10-17 01:39:31,10.0,8106.0,647.0,10.0,3693280.0,5418233.0,nan,nan,10.0,5418233.0,4.75,44.44444444444444,73.33333333333333,16.0,26.0
487,2017-10-17 01:39:39,5.0,8894.0,635.0,nan,3693283.0,5418274.0,nan,41.0,5.0,5418274.0,5.8,11.11111111111111,84.44444444444444,8.0,3.0
