asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance_meter,speed_filled,meter_filled,avrg_speed,distance_speed,distance_cum,delay,fuel
487,2017-10-21 17:36:52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
487,2017-10-21 17:36:52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan
487,2017-10-21 17:36:56,nan,nan,599.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan
487,2017-10-21 17:36:57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
487,2017-10-21 17:36:59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.0,nan
487,2017-10-21 17:36:59,nan,nan,643.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan
487,2017-10-21 17:36:59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan
487,2017-10-21 17:37:00,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
487,2017-10-21 17:37:01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.0,nan
487,2017-10-21 17:37:06,3.0,nan,649.0,nan,3748824.0,nan,nan,nan,3.0,nan,nan,4.166666666666667,nan,5.0,nan
487,2017-10-21 17:37:08,4.0,2063.0,nan,nan,3748825.0,nan,nan,nan,4.0,nan,3.0,2.2222222222222223,nan,2.0,1.0
487,2017-10-21 17:37:08,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,3.5,0.0,nan,0.0,nan
487,2017-10-21 17:37:12,nan,2281.0,653.0,nan,3748827.0,nan,nan,nan,4.0,nan,3.5,4.444444444444445,nan,4.0,2.0
487,2017-10-21 17:37:22,nan,nan,650.0,18.0,3748833.0,nan,nan,nan,4.0,nan,3.5,11.11111111111111,nan,10.0,6.0
487,2017-10-21 17:37:48,0.0,nan,744.0,nan,3748844.0,nan,nan,nan,0.0,nan,3.5,0.0,nan,26.0,11.0
487,2017-10-21 17:37:58,nan,0.0,0.0,0.0,3748847.0,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,10.0,3.0
487,2017-10-21 17:37:58,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,0.0,nan
487,2017-10-21 17:38:07,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,9.0,nan
487,2017-10-21 17:38:38,nan,51332.0,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,31.000000000000004,nan
487,2017-10-21 17:38:40,nan,7876.0,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,2.0,nan
487,2017-10-21 17:38:44,nan,0.0,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,4.0,nan
487,2017-10-21 17:38:45,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,1.0,nan
487,2017-10-21 17:38:45,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,0.0,nan
487,2017-10-21 17:38:46,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,1.0,nan
487,2017-10-21 17:38:46,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,0.0,nan
487,2017-10-21 17:38:46,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,0.0,nan
487,2017-10-21 17:38:46,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,0.0,nan
487,2017-10-21 17:39:17,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,31.000000000000004,nan
487,2017-10-21 17:39:25,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,8.0,nan
487,2017-10-21 17:39:26,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,1.0,nan
487,2017-10-21 17:39:29,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,3.0,nan
487,2017-10-21 17:39:33,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,4.0,nan
487,2017-10-21 17:39:35,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,2.3333333333333335,0.0,nan,2.0,nan
