asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance_meter,speed_filled,meter_filled,avrg_speed,distance_speed,distance_cum,delay,fuel
487,2017-10-21 02:05:41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
487,2017-10-21 02:05:41,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan
487,2017-10-21 02:05:43,14.0,nan,932.0,nan,nan,nan,nan,nan,14.0,nan,nan,7.777777777777778,nan,2.0,nan
487,2017-10-21 02:05:43,nan,nan,nan,nan,nan,nan,nan,nan,14.0,nan,14.0,0.0,nan,0.0,nan
487,2017-10-21 02:05:43,nan,nan,nan,nan,nan,nan,nan,nan,14.0,nan,14.0,0.0,nan,0.0,nan
487,2017-10-21 02:05:46,nan,nan,1204.0,nan,nan,nan,nan,nan,14.0,nan,14.0,11.666666666666666,nan,3.0,nan
487,2017-10-21 02:05:47,15.0,nan,nan,nan,nan,nan,nan,nan,15.0,nan,14.0,4.166666666666667,nan,1.0,nan
487,2017-10-21 02:05:47,nan,nan,nan,nan,nan,nan,nan,nan,15.0,nan,14.5,0.0,nan,0.0,nan
487,2017-10-21 02:05:47,nan,nan,nan,nan,nan,nan,nan,nan,15.0,nan,14.5,0.0,nan,0.0,nan
487,2017-10-21 02:05:49,16.0,nan,nan,nan,nan,nan,nan,nan,16.0,nan,14.5,8.88888888888889,nan,2.0,nan
487,2017-10-21 02:05:54,nan,nan,1471.0,nan,3737450.0,nan,nan,nan,16.0,nan,15.0,22.22222222222222,nan,5.0,nan
487,2017-10-21 02:06:20,6.0,nan,648.0,24.0,3737491.0,nan,nan,nan,6.0,nan,15.0,43.333333333333336,nan,26.0,41.0
487,2017-10-21 02:06:36,0.0,5089.0,646.0,nan,3737518.0,nan,nan,nan,0.0,nan,12.75,0.0,nan,16.0,27.0
487,2017-10-21 02:06:36,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,10.2,0.0,nan,0.0,nan
487,2017-10-21 02:07:07,5.0,2326.0,755.0,nan,3737537.0,180661.0,nan,nan,5.0,180661.0,10.2,43.055555555555564,nan,31.000000000000004,19.0
487,2017-10-21 02:07:37,0.0,0.0,651.0,43.0,3737570.0,180703.0,nan,42.0,0.0,180703.0,9.333333333333334,0.0,nan,30.000000000000004,33.0
487,2017-10-21 02:08:08,nan,nan,650.0,24.0,3737587.0,nan,nan,nan,0.0,180703.0,8.0,0.0,nan,31.000000000000004,17.0
487,2017-10-21 02:08:38,45.0,25712.0,1684.0,nan,3737647.0,180797.0,nan,94.0,45.0,180797.0,8.0,375.00000000000006,nan,30.000000000000004,60.0
487,2017-10-21 02:09:08,0.0,909.0,651.0,0.0,3737676.0,180915.0,nan,118.0,0.0,180915.0,12.625,0.0,nan,30.000000000000004,29.0
487,2017-10-21 02:09:39,32.0,11365.0,1651.0,23.0,3737692.0,180942.0,nan,27.0,32.0,180942.0,11.222222222222221,275.5555555555556,nan,31.000000000000004,16.0
487,2017-10-21 02:10:09,44.0,23064.0,1634.0,62.0,3737817.0,181292.0,nan,350.0,44.0,181292.0,13.3,366.66666666666674,nan,30.000000000000004,125.0
487,2017-10-21 02:10:40,62.0,32645.0,1765.0,44.0,3737864.0,181680.0,nan,388.0,62.0,181680.0,16.09090909090909,533.888888888889,nan,31.000000000000004,47.0
487,2017-10-21 02:11:11,0.0,0.0,632.0,23.0,3737872.0,182059.0,nan,379.0,0.0,182059.0,19.916666666666668,0.0,nan,31.000000000000004,8.0
487,2017-10-21 02:11:41,nan,468.0,650.0,24.0,3737887.0,nan,nan,nan,0.0,182059.0,18.384615384615383,0.0,nan,30.000000000000004,15.0
487,2017-10-21 02:12:11,66.0,34824.0,1518.0,65.0,3737951.0,182210.0,nan,151.0,66.0,182210.0,18.384615384615383,550.0000000000001,nan,30.000000000000004,64.0
487,2017-10-21 02:12:13,nan,35674.0,nan,nan,3737960.0,nan,nan,nan,66.0,182210.0,21.785714285714285,36.666666666666664,nan,2.0,9.0
487,2017-10-21 02:12:14,69.0,35899.0,nan,nan,3737964.0,182284.0,nan,74.0,69.0,182284.0,21.785714285714285,19.166666666666668,nan,1.0,4.0
487,2017-10-21 02:12:15,68.0,36307.0,1622.0,nan,3737967.0,nan,nan,nan,68.0,182284.0,24.933333333333334,18.88888888888889,nan,1.0,3.0
487,2017-10-21 02:12:16,69.0,36714.0,nan,nan,3737970.0,nan,nan,nan,69.0,182284.0,27.625,19.166666666666668,nan,1.0,3.0
487,2017-10-21 02:12:17,72.0,37350.0,nan,nan,nan,182358.0,nan,74.0,72.0,182358.0,30.058823529411764,20.0,nan,1.0,nan
