asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance_meter,speed_filled,meter_filled,avrg_speed,distance_speed,distance_cum,delay,fuel
487,2017-10-21 19:59:22,nan,0.0,nan,9.0,3750731.0,226328.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
487,2017-10-21 19:59:52,nan,1041.0,651.0,24.0,3750747.0,nan,nan,nan,nan,nan,nan,nan,nan,30.000000000000004,nan
487,2017-10-21 20:00:23,nan,0.0,639.0,nan,3750762.0,nan,nan,nan,nan,nan,nan,nan,nan,31.000000000000004,15.0
487,2017-10-21 20:00:53,2.0,190.0,635.0,27.0,3750833.0,226521.0,nan,nan,2.0,226521.0,nan,16.66666666666667,nan,30.000000000000004,71.0
487,2017-10-21 20:01:23,7.0,4174.0,1060.0,nan,3750890.0,226594.0,nan,73.0,7.0,226594.0,2.0,58.33333333333334,nan,30.000000000000004,57.0
487,2017-10-21 20:01:54,0.0,0.0,637.0,64.0,3750928.0,226711.0,nan,117.0,0.0,226711.0,4.5,0.0,nan,31.000000000000004,38.0
487,2017-10-21 20:02:24,8.0,1121.0,650.0,23.0,3750942.0,226713.0,nan,2.0,8.0,226713.0,3.0,66.66666666666669,nan,30.000000000000004,14.0
487,2017-10-21 20:02:25,nan,nan,nan,nan,nan,nan,nan,nan,8.0,226713.0,4.25,2.2222222222222223,nan,1.0,nan
487,2017-10-21 20:02:34,12.0,nan,649.0,7.0,3750944.0,nan,nan,nan,12.0,226713.0,4.25,30.0,nan,9.0,2.0
487,2017-10-21 20:03:01,0.0,nan,653.0,nan,3750952.0,nan,nan,nan,0.0,226713.0,5.8,0.0,nan,27.0,8.0
487,2017-10-21 20:03:27,nan,nan,650.0,5.0,3750959.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,26.0,7.0
487,2017-10-21 20:03:52,nan,nan,651.0,nan,3750965.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,25.0,6.0
487,2017-10-21 20:04:17,nan,nan,650.0,nan,3750972.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,25.0,7.0
487,2017-10-21 20:04:42,nan,nan,nan,nan,3750978.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,25.0,6.0
487,2017-10-21 20:05:07,nan,nan,651.0,nan,3750985.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,25.0,7.0
487,2017-10-21 20:05:32,nan,nan,650.0,nan,3750991.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,25.0,6.0
487,2017-10-21 20:05:58,nan,nan,nan,nan,3750998.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,26.0,7.0
487,2017-10-21 20:06:24,nan,nan,nan,nan,3751004.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,26.0,6.0
487,2017-10-21 20:06:49,nan,nan,nan,nan,3751010.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,25.0,6.0
487,2017-10-21 20:07:14,nan,nan,nan,nan,3751017.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,25.0,7.0
487,2017-10-21 20:07:40,nan,nan,nan,nan,3751024.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,26.0,7.0
487,2017-10-21 20:08:06,nan,nan,651.0,nan,3751030.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,26.0,6.0
487,2017-10-21 20:08:31,nan,nan,650.0,nan,3751037.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,25.0,7.0
487,2017-10-21 20:08:57,nan,nan,nan,nan,3751044.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,26.0,7.0
487,2017-10-21 20:09:09,nan,nan,nan,nan,3751047.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,12.0,3.0
487,2017-10-21 20:09:36,nan,nan,nan,nan,3751054.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,27.0,7.0
487,2017-10-21 20:10:02,nan,nan,651.0,nan,3751061.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,26.0,7.0
487,2017-10-21 20:10:28,nan,nan,650.0,nan,3751068.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,26.0,7.0
487,2017-10-21 20:10:54,nan,nan,649.0,nan,3751074.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,26.0,6.0
487,2017-10-21 20:11:19,nan,nan,651.0,nan,3751081.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,25.0,7.0
487,2017-10-21 20:11:45,nan,nan,650.0,nan,3751088.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,26.0,7.0
487,2017-10-21 20:12:11,nan,nan,nan,nan,3751095.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,26.0,7.0
487,2017-10-21 20:12:36,nan,nan,nan,nan,3751101.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,25.0,6.0
487,2017-10-21 20:13:02,nan,nan,nan,nan,3751108.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,26.0,7.0
487,2017-10-21 20:13:28,nan,nan,649.0,nan,3751115.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,26.0,7.0
487,2017-10-21 20:13:53,nan,nan,650.0,nan,3751122.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,25.0,7.0
487,2017-10-21 20:14:18,nan,nan,nan,nan,3751128.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,25.0,6.0
487,2017-10-21 20:14:44,nan,nan,nan,nan,3751135.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,26.0,7.0
487,2017-10-21 20:15:09,nan,nan,nan,nan,3751142.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,25.0,7.0
487,2017-10-21 20:15:34,nan,nan,651.0,nan,3751148.0,nan,nan,nan,0.0,226713.0,4.833333333333333,0.0,nan,25.0,6.0
