asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance,delay,fuel,filled
487,2017-10-01 16:55:21,40.0,22201.0,1261.0,33.0,3187530.0,3259936.0,nan,nan,nan,nan,6.94707537877165e-310
487,2017-10-01 16:55:32,86.0,44947.0,2447.0,100.0,3187632.0,3260076.0,nan,26.27777777777778,0 days 00:00:11,102.0,0.0
487,2017-10-01 16:55:33,87.0,46250.0,nan,nan,3187640.0,nan,nan,2.4166666666666665,0 days 00:00:01,8.0,0.0
487,2017-10-01 16:55:35,89.0,46805.0,nan,nan,3187656.0,3260187.0,nan,4.944444444444445,0 days 00:00:02,16.0,0.0
487,2017-10-01 16:55:37,87.0,46617.0,2055.0,nan,3187672.0,nan,nan,4.833333333333333,0 days 00:00:02,16.0,0.0
487,2017-10-01 16:55:38,87.0,46743.0,nan,nan,3187680.0,nan,nan,2.4166666666666665,0 days 00:00:01,8.0,1.0
487,2017-10-01 16:55:39,88.0,46860.0,nan,nan,3187688.0,nan,nan,2.4444444444444446,0 days 00:00:01,8.0,0.0
487,2017-10-01 16:55:40,90.0,47371.0,nan,nan,3187696.0,3260305.0,nan,2.5,0 days 00:00:01,8.0,0.0
487,2017-10-01 16:55:42,92.0,48678.0,2153.0,nan,3187712.0,nan,nan,5.111111111111111,0 days 00:00:02,16.0,0.0
487,2017-10-01 16:55:43,93.0,48869.0,nan,nan,3187720.0,nan,nan,2.5833333333333335,0 days 00:00:01,8.0,0.0
487,2017-10-01 16:55:45,94.0,49265.0,nan,nan,3187736.0,3260427.0,nan,5.222222222222222,0 days 00:00:02,16.0,0.0
487,2017-10-01 16:55:47,91.0,48518.0,2144.0,nan,3187751.0,nan,nan,5.055555555555555,0 days 00:00:02,15.0,0.0
487,2017-10-01 16:55:49,91.0,49026.0,nan,nan,3187767.0,nan,nan,5.055555555555555,0 days 00:00:02,16.0,1.0
487,2017-10-01 16:55:50,93.0,49063.0,nan,nan,3187775.0,3260552.0,nan,2.5833333333333335,0 days 00:00:01,8.0,0.0
487,2017-10-01 16:55:52,94.0,50075.0,2214.0,nan,3187788.0,nan,nan,5.222222222222222,0 days 00:00:02,13.0,0.0
487,2017-10-01 16:55:53,96.0,50310.0,nan,nan,3187793.0,nan,nan,2.6666666666666665,0 days 00:00:01,5.0,0.0
487,2017-10-01 16:55:55,95.0,50640.0,nan,54.0,3187803.0,3260677.0,nan,5.277777777777778,0 days 00:00:02,10.0,0.0
487,2017-10-01 16:55:56,93.0,49757.0,nan,nan,3187810.0,nan,nan,2.5833333333333335,0 days 00:00:01,7.0,0.0
487,2017-10-01 16:55:58,94.0,49675.0,2205.0,nan,3187820.0,nan,nan,5.222222222222222,0 days 00:00:02,10.0,0.0
487,2017-10-01 16:55:59,94.0,49808.0,nan,nan,3187825.0,3260778.0,nan,2.611111111111111,0 days 00:00:01,5.0,1.0
487,2017-10-01 16:56:00,94.0,49631.0,nan,nan,3187830.0,nan,nan,2.611111111111111,0 days 00:00:01,5.0,1.0
487,2017-10-01 16:56:01,94.0,49378.0,nan,nan,3187835.0,nan,nan,2.611111111111111,0 days 00:00:01,5.0,1.0
487,2017-10-01 16:56:02,92.0,49004.0,2125.0,nan,3187836.0,nan,nan,2.5555555555555554,0 days 00:00:01,1.0,0.0
487,2017-10-01 16:56:04,92.0,48617.0,nan,nan,3187838.0,3260902.0,nan,5.111111111111111,0 days 00:00:02,2.0,1.0
487,2017-10-01 16:56:05,90.0,48013.0,nan,nan,3187839.0,nan,nan,2.5,0 days 00:00:01,1.0,0.0
487,2017-10-01 16:56:07,90.0,47531.0,2110.0,nan,3187841.0,nan,nan,5.0,0 days 00:00:02,2.0,1.0
