asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance,delay,fuel,filled
487,2017-10-05 13:51:16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.406e-321
487,2017-10-05 13:51:20,nan,nan,nan,nan,nan,nan,nan,nan,0 days 00:00:04,2.406e-321,2.406e-321
487,2017-10-05 13:51:51,nan,nan,nan,nan,nan,nan,nan,nan,0 days 00:00:31,2.406e-321,2.406e-321
487,2017-10-05 13:52:11,nan,nan,nan,nan,nan,nan,nan,nan,0 days 00:00:20,2.406e-321,2.406e-321
