asset,recorded_at,MDI_OBD_SPEED,GPS_SPEED,MDI_OBD_RPM,MDI_OBD_ENGINE_LOAD,MDI_OBD_FUEL,ODO_FULL_METER,MDI_DASHBOARD_MILEAGE,distance_meter,speed_filled,meter_filled,avrg_speed,distance_speed,distance_cum,delay,fuel,filled_speed,filled_meter
487,2017-10-14 13:33:04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,False,False
487,2017-10-14 13:33:04,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,False,False
487,2017-10-14 13:33:07,3.0,nan,664.0,nan,nan,nan,nan,nan,3.0,nan,nan,2.5,2.5,3.0,nan,False,False
487,2017-10-14 13:33:08,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,3.0,0.8333333333333334,3.3333333333333335,1.0,nan,True,False
487,2017-10-14 13:33:09,nan,nan,875.0,nan,nan,nan,nan,nan,3.0,nan,3.0,0.8333333333333334,4.166666666666667,1.0,nan,True,False
487,2017-10-14 13:33:09,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,3.0,0.0,4.166666666666667,0.0,nan,True,False
487,2017-10-14 13:33:09,nan,nan,nan,nan,nan,nan,nan,nan,3.0,nan,3.0,0.0,4.166666666666667,0.0,nan,True,False
487,2017-10-14 13:33:13,4.0,nan,668.0,nan,3371643.0,nan,nan,nan,4.0,nan,3.0,4.444444444444445,8.61111111111111,4.0,nan,False,False
487,2017-10-14 13:33:13,nan,nan,nan,nan,nan,nan,nan,nan,4.0,nan,3.5,0.0,8.61111111111111,0.0,nan,True,False
487,2017-10-14 13:33:17,nan,2693.0,nan,nan,3371646.0,4008202.0,nan,nan,4.0,4008202.0,3.5,4.444444444444445,13.055555555555555,4.0,3.0,True,False
487,2017-10-14 13:33:46,34.0,18234.0,1680.0,28.0,3371677.0,4008430.0,nan,228.0,34.0,4008430.0,3.5,273.8888888888889,286.94444444444446,29.000000000000004,31.0,False,False
487,2017-10-14 13:34:17,43.0,23311.0,1676.0,80.0,3371762.0,4008681.0,nan,251.0,43.0,4008681.0,13.666666666666666,370.2777777777778,657.2222222222223,31.000000000000004,85.0,False,False
487,2017-10-14 13:34:47,30.0,15168.0,1537.0,1.0,3371793.0,4008903.0,nan,222.0,30.0,4008903.0,21.0,250.00000000000006,907.2222222222224,30.000000000000004,31.0,False,False
487,2017-10-14 13:35:18,39.0,20196.0,1586.0,0.0,3371837.0,4009112.0,nan,209.0,39.0,4009112.0,22.8,335.83333333333337,1243.0555555555557,31.000000000000004,44.0,False,False
487,2017-10-14 13:35:48,21.0,11958.0,1215.0,25.0,3371881.0,4009353.0,nan,241.0,21.0,4009353.0,25.5,175.00000000000003,1418.0555555555557,30.000000000000004,44.0,False,False
487,2017-10-14 13:36:19,0.0,0.0,650.0,24.0,3371891.0,4009418.0,nan,65.0,0.0,4009418.0,24.857142857142858,0.0,1418.0555555555557,31.000000000000004,10.0,False,False
487,2017-10-14 13:36:49,57.0,29648.0,1998.0,60.0,3371966.0,4009543.0,nan,125.0,57.0,4009543.0,21.75,475.0000000000001,1893.0555555555557,30.000000000000004,75.0,False,False
487,2017-10-14 13:37:05,65.0,34548.0,1781.0,67.0,3372075.0,4009824.0,nan,281.0,65.0,4009824.0,25.666666666666668,288.8888888888889,2181.9444444444443,16.0,109.0,False,False
487,2017-10-14 13:37:07,66.0,35438.0,1899.0,nan,3372086.0,4009875.0,nan,51.0,66.0,4009875.0,29.6,36.666666666666664,2218.611111111111,2.0,11.0,False,False
487,2017-10-14 13:37:09,68.0,36321.0,nan,nan,3372097.0,nan,nan,nan,68.0,4009875.0,32.90909090909091,37.77777777777778,2256.3888888888887,2.0,11.0,False,True
487,2017-10-14 13:37:11,70.0,36163.0,nan,nan,3372107.0,4009947.0,nan,72.0,70.0,4009947.0,35.833333333333336,38.888888888888886,2295.2777777777774,2.0,10.0,False,False
487,2017-10-14 13:37:12,nan,37469.0,1652.0,nan,3372112.0,nan,nan,nan,70.0,4009947.0,38.46153846153846,19.444444444444443,2314.7222222222217,1.0,5.0,True,True
487,2017-10-14 13:37:13,71.0,37775.0,nan,nan,3372117.0,nan,nan,nan,71.0,4009947.0,38.46153846153846,19.72222222222222,2334.444444444444,1.0,5.0,False,True
487,2017-10-14 13:37:15,72.0,37968.0,nan,nan,3372119.0,4010022.0,nan,75.0,72.0,4010022.0,40.785714285714285,40.0,2374.444444444444,2.0,2.0,False,False
487,2017-10-14 13:37:17,73.0,38551.0,1712.0,nan,3372121.0,nan,nan,nan,73.0,4010022.0,42.86666666666667,40.55555555555556,2414.9999999999995,2.0,2.0,False,True
